question,date,yes_price,change_1d,change_3d,change_5d
"Will Trump say ""NATO"" 3+ times during his presser with Ireland PM?",2025-03-12,0.215,0,0,0
"Will Trump say ""Zelenskyy"" during his presser with Ireland PM?",2025-03-12,0.56,0,0,0
"Will Trump say ""Ukraine"" 5+ times during his presser with Ireland PM?",2025-03-12,0.485,0,0,0
"Will Trump say ""Trans"" during his presser with Ireland PM?",2025-03-12,0.08,0,0,0
"Will Trump say ""Israel"" during his presser with Ireland PM?",2025-03-12,0.36,0,0,0
"Will Trump say ""Tariff"" 5+ times during his presser with Ireland PM?",2025-03-11,0.375,1,0,0
Price of eggs goes up in Trump's first month?,2025-03-11,0.991,1,1,1
"Will Trump say ""Tariff"" 5+ times during his presser with Ireland PM?",2025-03-11,0.375,1,0,0
25% steel tariff in effect before May?,2025-03-11,0.959,0,0,0
"Will Trump say ""Tariff"" 5+ times during his presser with Ireland PM?",2025-03-11,0.375,1,0,0
25% aluminum tariff in effect before May?,2025-03-11,0.9585,1,1,1
Will Trump issue an executive order on March 11?,2025-03-11,0.42,0,0,0
Will Trump issue an executive order on March 12?,2025-03-11,0.515,1,0,0
Will Trump pass a border/immigration law in first 100 days?,2025-03-11,0.64,1,1,1
"Will Trump say ""Tariff"" 5+ times during his presser with Ireland PM?",2025-03-11,0.375,1,0,0
Will Trump pass a border/immigration law in first 100 days?,2025-03-11,0.64,1,1,1
Will Lisa Murkowski vote to confirm Lori Chavez-DeRemer as Secretary of Labor?,2025-03-10,0.9825,1,1,1
Will Susan Collins vote to confirm Lori Chavez-DeRemer as Secretary of Labor?,2025-03-10,0.992,1,1,1
Will Donald Trump sign 5-9 executive orders in March?,2025-03-10,0.003,1,1,1
Will Trump's approval rating be 49.0% or higher on March 14?,2025-03-10,0.0425,0,0,0
Will Trump's approval rating be between 47.5% and 47.9% on March 14?,2025-03-10,0.465,1,1,1
Will Trump's 538 approval rating be 48.5% or higher on March 7?,2025-03-10,0.0015,0,0,0
Will Trump's 538 approval rating be between 46.5% and 46.9% on March 7?,2025-03-10,0.0005,0,0,0
Will Trump's approval rating be between 48.5% and 48.9% on March 14?,2025-03-10,0.055,0,0,0
Will Trump's 538 approval rating be between 47.5% and 47.9% on March 7?,2025-03-10,0.998,0,0,0
Will Trump post 100-109 times on Truth March 7-14?,2025-03-10,0.08,0,0,0
Will Trump's 538 approval rating be less than 46.5% on March 7?,2025-03-10,0.0005,1,1,1
Will Trump's approval rating be between 47.0% and 47.4% on March 14?,2025-03-10,0.1,1,0,1
Will Trump's approval rating be less than 47.0% on March 14?,2025-03-10,0.045,0,0,0
Will Trump's approval rating be between 48.0% and 48.4% on March 14?,2025-03-10,0.305,0,0,0
Will Trump's 538 approval rating be between 47.0% and 47.4% on March 7?,2025-03-10,0.0005,0,0,0
Will Trump's 538 approval rating be between 48.0% and 48.4% on March 7?,2025-03-10,0.0005,0,0,0
Will Trump post 130-139 times on Truth March 7-14?,2025-03-10,0.1265,0,0,0
Will Trump invite the Philadelphia Eagles to the White House?,2025-03-10,0.2265,1,1,1
Will Trump cut Ukraine off from Starlink?,2025-03-09,0.067,0,0,0
Will Trump cut Ukraine off from Starlink?,2025-03-09,0.067,0,0,0
Will Trump issue an executive order on March 9?,2025-03-09,0.145,0,0,0
Will Donald Trump sign 5-9 executive orders in March?,2025-03-09,0.002,1,1,1
Will Trump post 130-139 times on Truth March 7-14?,2025-03-09,0.036,1,0,0
Will Trump post 110-119 times on Truth March 7-14?,2025-03-09,0.054,1,0,0
Will Trump post 100-109 times on Truth March 7-14?,2025-03-09,0.05,1,0,0
Will Trump post 150 or more times on Truth March 7-14?,2025-03-09,0.326,0,1,1
Will Trump's approval rating be less than 47.0% on March 14?,2025-03-09,0.095,0,0,0
Will Trump post 120-129 times on Truth March 7-14?,2025-03-09,0.02,1,0,0
Will Trump post 140-149 times on Truth March 7-14?,2025-03-09,0.0655,1,0,0
Will Trump invite the Philadelphia Eagles to the White House?,2025-03-09,0.722,0,1,1
Will Trump's approval rating be between 47.0% and 47.4% on March 14?,2025-03-09,0.115,0,1,1
Will Trump's approval rating be between 47.5% and 47.9% on March 14?,2025-03-09,0.435,1,1,0
Will Trump's approval rating be 49.0% or higher on March 14?,2025-03-09,0.0135,1,0,0
Will Trump post 80-89 times on Truth March 7-14?,2025-03-09,0.11,0,0,0
Will Trump meet with either Tate brother by next Sunday?,2025-03-09,0.004,0,0,0
Will Trump post 60-69 times on Truth March 7-14?,2025-03-09,0.0165,0,0,0
Will Trump post 70-79 times on Truth March 7-14?,2025-03-09,0.05,0,0,0
Will Trump post 50-59 times on Truth March 7-14?,2025-03-09,0.008,0,0,0
Will Trump cut Ukraine off from Starlink?,2025-03-09,0.067,0,0,0
Will Donald Trump sign 5-9 executive orders in March?,2025-03-08,0.0035,0,1,1
Will Trump issue an executive order on March 5?,2025-03-08,0.0015,0,0,0
Will Trump issue an executive order on March 8?,2025-03-08,0.16,0,0,0
Will Trump issue an executive order on March 9?,2025-03-08,0.155,0,0,0
Will Trump invite the Philadelphia Eagles to the White House?,2025-03-08,0.7665,0,0,1
Will John Fetterman vote to confirm Lori Chavez-DeRemer as Secretary of Labor?,2025-03-08,0.8,0,0,0
Price of eggs goes up in Trump's first month?,2025-03-07,0.9825,1,1,1
Will Jack Dorsey attend the March 7 Crypto Summit?,2025-03-07,0.43,1,1,1
Will Trump cut Ukraine off from Starlink?,2025-03-07,0.0855,0,0,0
Will Zelenskyy apologize to Trump by Friday?,2025-03-07,0.019,0,0,0
Will Zelenskyy apologize to Trump by Friday?,2025-03-07,0.019,0,0,0
Will Trump pass a border/immigration law in first 100 days?,2025-03-07,0.3,1,1,1
Will Trump cut Ukraine off from Starlink?,2025-03-07,0.0855,0,0,0
Will Trump's 538 approval rating be less than 46.5% on March 7?,2025-03-07,0.015,0,0,0
Will Trump issue an executive order on March 9?,2025-03-07,0.155,0,0,0
Will Trump issue an executive order on March 5?,2025-03-07,0.0045,0,0,0
Will Donald Trump sign 5-9 executive orders in March?,2025-03-07,0.006,0,0,0
Trump admin announces cutting Ukraine aid by Friday?,2025-03-06,0.998,1,1,1
Will Zelenskyy apologize to Trump by Friday?,2025-03-06,0.09,0,0,0
Will Trump cut Ukraine off from Starlink?,2025-03-06,0.0725,1,0,0
Trump admin announces cutting Ukraine aid by Friday?,2025-03-06,0.998,1,1,1
"Will Donald Trump say ""Russia"" during Crypto Summit on Friday?",2025-03-06,0.395,0,0,0
Trump announces cutting all military aid to Ukraine aid before April?,2025-03-06,0.998,1,1,1
Will Trump lower automobile tariffs on Canada/Mexico by next Friday?,2025-03-06,0.9605,1,1,1
25% aluminum tariff in effect before May?,2025-03-06,0.957,1,1,1
25% steel tariff in effect before May?,2025-03-06,0.932,1,1,1
Trump announces cutting all military aid to Ukraine aid before April?,2025-03-06,0.998,1,1,1
Trump admin announces cutting Ukraine aid by Friday?,2025-03-06,0.998,1,1,1
Will Trump cut Ukraine off from Starlink?,2025-03-06,0.0725,1,0,0
"Will Donald Trump say ""Russia"" during Crypto Summit on Friday?",2025-03-06,0.395,0,0,0
"Will Donald Trump say ""Milady"" during Crypto Summit on Friday?",2025-03-06,0.017,0,0,0
Will Zelenskyy apologize to Trump by Friday?,2025-03-06,0.09,0,0,0
Will Trump lower automobile tariffs on Canada/Mexico by next Friday?,2025-03-06,0.9605,1,1,1
Trump negative approval by Friday?,2025-03-06,0.898,1,1,1
Will Trump post 80-89 times on Truth Feb 28 - March 7?,2025-03-06,0.069,1,1,1
Trump announces cutting all military aid to Ukraine aid before April?,2025-03-06,0.998,1,1,1
Will Trump cut Ukraine off from Starlink?,2025-03-06,0.0725,1,0,0
Trump admin announces cutting Ukraine aid by Friday?,2025-03-06,0.998,1,1,1
"Will Donald Trump say ""Russia"" during Crypto Summit on Friday?",2025-03-06,0.395,0,0,0
Trump announces cutting all military aid to Ukraine aid before April?,2025-03-06,0.998,1,1,1
Trump admin announces cutting Ukraine aid by Friday?,2025-03-06,0.998,1,1,1
"Will Donald Trump say ""Dogecoin"" during Crypto Summit on Friday?",2025-03-06,0.095,1,1,1
Trump negative approval by Friday?,2025-03-06,0.898,1,1,1
"Will Donald Trump say ""Hack"" during Crypto Summit on Friday?",2025-03-06,0.12,1,1,1
"Will Donald Trump say ""ETF"" or ""Exchange Traded Fund"" during Crypto Summit on Friday?",2025-03-06,0.34,0,0,0
Trump negative approval before April?,2025-03-06,0.8965,1,1,1
25% steel tariff in effect before May?,2025-03-05,0.9605,0,1,1
25% aluminum tariff in effect before May?,2025-03-05,0.967,0,0,0
Trump admin announces cutting Ukraine aid by Friday?,2025-03-05,0.994,1,1,1
Trump announces cutting all military aid to Ukraine aid before April?,2025-03-05,0.994,1,1,1
Trump admin announces cutting Ukraine aid by Friday?,2025-03-05,0.994,1,1,1
Trump announces cutting all military aid to Ukraine aid before April?,2025-03-05,0.994,1,1,1
Will Trump cut Ukraine off from Starlink?,2025-03-05,0.063,1,0,0
"Will Donald Trump say ""Russia"" during Crypto Summit on Friday?",2025-03-05,0.46,0,0,0
Will Zelenskyy apologize to Trump by Friday?,2025-03-05,0.14,0,0,0
"Will Donald Trump say ""Milady"" during Crypto Summit on Friday?",2025-03-05,0.017,0,0,0
"Will Donald Trump say ""Barron"" during Crypto Summit on Friday?",2025-03-05,0.305,1,0,0
"Will Donald Trump say ""Moon"" during Crypto Summit on Friday?",2025-03-05,0.07,1,1,1
"Will Donald Trump say ""Ethereum"" during Crypto Summit on Friday?",2025-03-05,0.675,0,0,0
"Will Donald Trump say ""Hack"" during Crypto Summit on Friday?",2025-03-05,0.13,0,0,0
"Will Donald Trump say ""Melania"" during Crypto Summit on Friday?",2025-03-05,0.12,1,0,0
"Will Donald Trump say ""China"" during Crypto Summit on Friday?",2025-03-05,0.65,1,0,0
"Will Donald Trump say ""Ulbricht"" during Crypto Summit on Friday?",2025-03-05,0.235,1,1,1
Trump negative approval by Friday?,2025-03-05,0.835,1,1,1
Will Trump post 130-139 times on Truth Feb 28 - March 7?,2025-03-05,0.0115,0,0,0
Will Trump post 100-109 times on Truth Feb 28 - March 7?,2025-03-05,0.085,0,0,0
"Will Donald Trump say ""Crypto"" 10+ times during Crypto Summit on Friday?",2025-03-05,0.625,1,1,1
Trump announces cutting all military aid to Ukraine aid before April?,2025-03-05,0.994,1,1,1
Trump admin announces cutting Ukraine aid by Friday?,2025-03-05,0.994,1,1,1
Trump announces cutting all military aid to Ukraine aid before April?,2025-03-05,0.994,1,1,1
Will Trump cut Ukraine off from Starlink?,2025-03-05,0.063,1,0,0
"Will Donald Trump say ""Russia"" during Crypto Summit on Friday?",2025-03-05,0.46,0,0,0
Trump negative approval by Friday?,2025-03-05,0.835,1,1,1
Will Trump post 110-119 times on Truth Feb 28 - March 7?,2025-03-05,0.035,0,0,0
Will Trump's 538 approval rating be between 46.5% and 46.9% on March 7?,2025-03-05,0.135,0,0,0
Will Trump's 538 approval rating be between 47.5% and 47.9% on March 7?,2025-03-05,0.385,1,1,1
Will Trump's 538 approval rating be less than 46.5% on March 7?,2025-03-05,0.047,0,0,0
Will Trump's 538 approval rating be 48.5% or higher on March 7?,2025-03-05,0.065,0,0,0
Will Trump's 538 approval rating be between 47.0% and 47.4% on March 7?,2025-03-05,0.245,0,0,0
Will Trump's 538 approval rating be between 48.0% and 48.4% on March 7?,2025-03-05,0.13,0,0,0
Trump negative approval by Friday?,2025-03-05,0.835,1,1,1
Lori Chavez-DeRemer confirmed as Labor Secretary?,2025-03-05,0.9955,0,1,1
Will Mitch McConnell vote to confirm Lori Chavez-DeRemer as Secretary of Labor?,2025-03-05,0.665,0,1,1
Trump announces cutting all military aid to Ukraine aid before April?,2025-03-05,0.994,1,1,1
Trump admin announces cutting Ukraine aid by Friday?,2025-03-05,0.994,1,1,1
Will Trump cut Ukraine off from Starlink?,2025-03-05,0.063,1,0,0
"Will Donald Trump say ""Russia"" during Crypto Summit on Friday?",2025-03-05,0.46,0,0,0
Will Trump pass a border/immigration law in first 100 days?,2025-03-05,0.275,0,1,1
Will Trump issue an executive order on March 6?,2025-03-05,0.495,1,1,1
Will Trump issue an executive order on March 5?,2025-03-05,0.525,0,0,0
Will Trump post 130-139 times on Truth Feb 28 - March 7?,2025-03-05,0.0115,0,0,0
Trump negative approval before April?,2025-03-05,0.9355,0,1,1
Trump negative approval before May?,2025-03-05,0.955,0,1,1
Will Trump post 100-109 times on Truth Feb 28 - March 7?,2025-03-05,0.085,0,0,0
Will Donald Trump sign 5-9 executive orders in March?,2025-03-05,0.0105,0,0,0
Trump negative approval by Friday?,2025-03-05,0.835,1,1,1
Will Trump post 80-89 times on Truth Feb 28 - March 7?,2025-03-05,0.2775,0,0,0
Will Trump's 2025 joint address get >46m viewers?,2025-03-05,0.066,1,1,1
Will Trump's 2025 joint address get 42-46m viewers?,2025-03-05,0.019,1,1,1
"Will Donald Trump say ""Rug Pull"" during Crypto Summit on Friday?",2025-03-05,0.055,0,0,0
Will Trump's 2025 joint address get <34m viewers?,2025-03-05,0.635,0,0,0
Will Trump's 538 approval rating be 48.5% or higher on March 7?,2025-03-05,0.065,0,0,0
Will Trump's 2025 joint address get 38-42m viewers?,2025-03-05,0.0385,0,0,0
Will Trump's 2025 joint address get 34-38m viewers?,2025-03-05,0.25,1,1,1
Will Trump's 538 approval rating be less than 46.5% on March 7?,2025-03-05,0.047,0,0,0
Will Trump's 538 approval rating be between 47.0% and 47.4% on March 7?,2025-03-05,0.245,0,0,0
Will Trump's 538 approval rating be between 47.5% and 47.9% on March 7?,2025-03-05,0.385,1,1,1
Will Trump post 100-109 times on Truth Feb 28 - March 7?,2025-03-05,0.085,0,0,0
Will Trump's 538 approval rating be between 46.5% and 46.9% on March 7?,2025-03-05,0.135,0,0,0
Will Trump's 538 approval rating be between 48.0% and 48.4% on March 7?,2025-03-05,0.13,0,0,0
Will Trump post less than 80 times on Truth Feb 28 - March 7?,2025-03-05,0.2015,1,1,1
"Will Donald Trump say ""Ethereum"" during Crypto Summit on Friday?",2025-03-05,0.675,0,0,0
Will Trump post 90-99 times on Truth Feb 28 - March 7?,2025-03-05,0.265,0,0,0
"Will Donald Trump say ""Crypto"" 10+ times during Crypto Summit on Friday?",2025-03-05,0.625,1,1,1
"Will Donald Trump say ""Crypto"" 5+ times during Crypto Summit on Friday?",2025-03-05,0.845,1,0,0
Will Trump post 140-149 times on Truth Feb 28 - March 7?,2025-03-05,0.008,0,0,0
Will Trump post 130-139 times on Truth Feb 28 - March 7?,2025-03-05,0.0115,0,0,0
Trump negative approval before April?,2025-03-05,0.9355,0,1,1
Will Trump post 150-159 times on Truth Feb 28 - March 7?,2025-03-05,0.0045,0,0,0
"Will Donald Trump say ""China"" during Crypto Summit on Friday?",2025-03-05,0.65,1,0,0
Will Donald Trump sign 5-9 executive orders in March?,2025-03-05,0.0105,0,0,0
"Will Donald Trump say ""Hack"" during Crypto Summit on Friday?",2025-03-05,0.13,0,0,0
"Will Donald Trump say ""Coin"" 5+ times during Crypto Summit on Friday?",2025-03-05,0.525,0,1,1
Will Trump post 120-129 times on Truth Feb 28 - March 7?,2025-03-05,0.045,0,0,0
"Will Donald Trump say ""Russia"" during Crypto Summit on Friday?",2025-03-05,0.46,0,0,0
Will Trump post 110-119 times on Truth Feb 28 - March 7?,2025-03-05,0.035,0,0,0
Trump negative approval by Friday?,2025-03-05,0.835,1,1,1
Will Trump cut Ukraine off from Starlink?,2025-03-05,0.063,1,0,0
Trump announces cutting all military aid to Ukraine aid before April?,2025-03-05,0.994,1,1,1
Trump admin announces cutting Ukraine aid by Friday?,2025-03-05,0.994,1,1,1
"Will Donald Trump say ""Russia"" during Crypto Summit on Friday?",2025-03-05,0.46,0,0,0
Will Trump post 80-89 times on Truth Feb 28 - March 7?,2025-03-05,0.2775,0,0,0
Will Trump post less than 80 times on Truth Feb 28 - March 7?,2025-03-05,0.2015,1,1,1
Will Trump post 150-159 times on Truth Feb 28 - March 7?,2025-03-05,0.0045,0,0,0
Will Trump post 100-109 times on Truth Feb 28 - March 7?,2025-03-05,0.085,0,0,0
Will Trump pass a border/immigration law in first 100 days?,2025-03-05,0.275,0,1,1
Will Trump post 120-129 times on Truth Feb 28 - March 7?,2025-03-05,0.045,0,0,0
Will Trump post 160 or more times on Truth Feb 28 - March 7?,2025-03-05,0.005,0,0,0
Trump negative approval by Friday?,2025-03-05,0.835,1,1,1
Will Trump post 110-119 times on Truth Feb 28 - March 7?,2025-03-05,0.035,0,0,0
Will Trump post 90-99 times on Truth Feb 28 - March 7?,2025-03-05,0.265,0,0,0
Will Trump post 130-139 times on Truth Feb 28 - March 7?,2025-03-05,0.0115,0,0,0
Will Trump post 140-149 times on Truth Feb 28 - March 7?,2025-03-05,0.008,0,0,0
"Will Donald Trump say ""Crypto"" 5+ times during Crypto Summit on Friday?",2025-03-05,0.845,1,0,0
"Will Donald Trump say ""Crypto"" 10+ times during Crypto Summit on Friday?",2025-03-05,0.625,1,1,1
"Will Donald Trump say ""Coin"" 5+ times during Crypto Summit on Friday?",2025-03-05,0.525,0,1,1
Will Donald Trump sign 5-9 executive orders in March?,2025-03-05,0.0105,0,0,0
"Will Donald Trump say ""Barron"" during Crypto Summit on Friday?",2025-03-05,0.305,1,0,0
Trump negative approval before April?,2025-03-05,0.9355,0,1,1
"Will Donald Trump say ""Ethereum"" during Crypto Summit on Friday?",2025-03-05,0.675,0,0,0
Trump negative approval before May?,2025-03-05,0.955,0,1,1
Will Bernie Sanders applaud during Trump's address to Congress?,2025-03-05,0.1055,0,0,0
Will Chuck Schumer applaud during Trump's address to Congress?,2025-03-05,0.86,0,0,0
Will Mitch McConnell applaud during Trump's address to Congress?,2025-03-05,0.944,0,0,0
Will Trump's joint address to Congress be 80 min or more?,2025-03-05,0.455,0,0,0
Will Nancy Pelosi applaud during Trump's address to Congress?,2025-03-05,0.44,0,0,0
Will Trump say 'ceasefire' during the 2025 State of the Union?,2025-03-05,0.765,0,0,0
Will Trump's joint address to Congress be less than 50 min?,2025-03-05,0.0365,0,0,0
Will Trump's joint address to Congress be 50-60 min?,2025-03-05,0.085,0,0,0
Will Trump's joint address to Congress be 70-80 min?,2025-03-05,0.225,0,0,0
Will Trump's joint address to Congress be 60-70 min?,2025-03-05,0.2,0,0,0
Will Hakeem Jeffries applaud during Trump's address to Congress?,2025-03-05,0.77,0,0,0
"Will Donald Trump say ""Rug Pull"" during Crypto Summit on Friday?",2025-03-05,0.055,0,0,0
Will John Fetterman applaud during Trump's address to Congress?,2025-03-05,0.795,0,0,0
Will Alexandria Ocasio-Cortez applaud during Trump's address to Congress?,2025-03-05,0.0135,0,0,0
Will Trump say 'Elon' or 'Musk' during the 2025 State of the Union?,2025-03-05,0.76,0,0,0
Will Trump say 'Peace' 10+ times during the 2025 State of the Union?,2025-03-05,0.28,0,0,0
Will Trump say 'Epstein' during the 2025 State of the Union?,2025-03-05,0.111,0,0,0
Will Trump's 2025 joint address get <34m viewers?,2025-03-05,0.635,0,0,0
Will Trump's 2025 joint address get 34-38m viewers?,2025-03-05,0.25,1,1,1
Will Trump's 2025 joint address get 42-46m viewers?,2025-03-05,0.019,1,1,1
Will Trump's 2025 joint address get >46m viewers?,2025-03-05,0.066,1,1,1
Will Trump's 2025 joint address get 38-42m viewers?,2025-03-05,0.0385,0,0,0
Will Trump pass a border/immigration law in first 100 days?,2025-03-04,0.285,0,1,1
Will John Fetterman applaud during Trump's address to Congress?,2025-03-04,0.825,0,0,0
Will Trump's joint address to Congress be 80 min or more?,2025-03-04,0.32,1,1,1
Will Trump's joint address to Congress be 70-80 min?,2025-03-04,0.295,0,0,0
Will Trump's joint address to Congress be 60-70 min?,2025-03-04,0.175,1,1,1
Will Trump invite the Philadelphia Eagles to the White House?,2025-03-04,0.8775,1,0,0
Will Trump's joint address to Congress be 50-60 min?,2025-03-04,0.13,0,0,0
Will Trump's joint address to Congress be less than 50 min?,2025-03-04,0.107,0,0,0
"Will Donald Trump say ""Barron"" during Crypto Summit on Friday?",2025-03-04,0.5,0,0,0
Will Hakeem Jeffries applaud during Trump's address to Congress?,2025-03-04,0.805,0,0,0
"Will Donald Trump say ""Melania"" during Crypto Summit on Friday?",2025-03-04,0.5,0,0,0
"Will Donald Trump say ""Solana"" during Crypto Summit on Friday?",2025-03-04,0.46,1,0,0
Will Alexandria Ocasio-Cortez applaud during Trump's address to Congress?,2025-03-04,0.265,0,0,0
Will Chuck Schumer applaud during Trump's address to Congress?,2025-03-04,0.67,1,1,1
"Will Donald Trump say ""Reserve"" during Crypto Summit on Friday?",2025-03-04,0.69,1,1,1
Will Ilhan Omar applaud during Trump's address to Congress?,2025-03-04,0.385,0,0,0
"Will Donald Trump say ""Hack"" during Crypto Summit on Friday?",2025-03-04,0.255,0,0,0
"Will Donald Trump say ""Milady"" during Crypto Summit on Friday?",2025-03-04,0.475,0,0,0
Will Trump say 'Zelenskyy' during the 2025 State of the Union?,2025-03-04,0.64,1,1,1
Will Trump say 'million' 10+ times during the 2025 State of the Union?,2025-03-04,0.565,0,0,0
"Will Donald Trump say ""China"" during Crypto Summit on Friday?",2025-03-04,0.495,1,1,1
Will Trump say 'ceasefire' during the 2025 State of the Union?,2025-03-04,0.745,1,1,1
"Will Donald Trump say ""Russia"" during Crypto Summit on Friday?",2025-03-04,0.5,0,0,0
Will Trump say 'tariff' 5+ times times during the 2025 State of the Union?,2025-03-04,0.59,1,1,1
Will Trump say 'Elon' or 'Musk' during the 2025 State of the Union?,2025-03-04,0.725,1,1,1
Will Trump say 'Mexico' 5+ times during the 2025 State of the Union?,2025-03-04,0.245,1,1,1
Will Bernie Sanders applaud during Trump's address to Congress?,2025-03-04,0.025,1,1,1
"Will Donald Trump say ""Rug Pull"" during Crypto Summit on Friday?",2025-03-04,0.475,0,0,0
"Will Donald Trump say ""Crypto"" 10+ times during Crypto Summit on Friday?",2025-03-04,0.535,1,1,1
"Will Donald Trump say ""Crypto"" 5+ times during Crypto Summit on Friday?",2025-03-04,0.725,1,1,1
"Will Donald Trump say ""Coin"" 5+ times during Crypto Summit on Friday?",2025-03-04,0.455,1,1,1
Will Trump say 'Panama' during the 2025 State of the Union?,2025-03-04,0.59,1,1,1
Will Trump's 2025 joint address get >46m viewers?,2025-03-04,0.06,1,1,1
Will Trump say 'Canada' during the 2025 State of the Union?,2025-03-04,0.875,1,1,1
Will Trump's 2025 joint address get 42-46m viewers?,2025-03-04,0.1,0,0,0
"Will Donald Trump say ""Energy"" during Crypto Summit on Friday?",2025-03-04,0.55,1,1,1
Will Trump's 2025 joint address get 38-42m viewers?,2025-03-04,0.18,0,0,0
Will Trump's 2025 joint address get 34-38m viewers?,2025-03-04,0.16,1,1,1
Will Trump say 'Greenland' during the 2025 State of the Union?,2025-03-04,0.28,0,0,0
Will Trump's 2025 joint address get <34m viewers?,2025-03-04,0.41,1,0,0
Will Trump say 'Gulf of America' during the 2025 State of the Union?,2025-03-04,0.72,1,1,1
"Will Donald Trump say ""Dogecoin"" during Crypto Summit on Friday?",2025-03-04,0.345,0,0,0
"Will Donald Trump say ""Ethereum"" during Crypto Summit on Friday?",2025-03-04,0.745,0,0,0
Will Trump issue an executive order on March 6?,2025-03-04,0.57,0,0,0
Trump announces cutting all military aid to Ukraine aid before April?,2025-03-04,0.63,1,1,1
Trump admin announces cutting Ukraine aid by Friday?,2025-03-04,0.885,1,1,1
Will Trump cut Ukraine off from Starlink?,2025-03-04,0.0725,0,1,0
Will Trump say 'Ukraine' during the 2025 State of the Union?,2025-03-04,0.895,1,1,1
Will Trump say 'mineral' during the 2025 State of the Union?,2025-03-04,0.725,0,0,0
"Will Donald Trump say ""Russia"" during Crypto Summit on Friday?",2025-03-04,0.5,0,0,0
Will Trump say 'ceasefire' during the 2025 State of the Union?,2025-03-04,0.745,1,1,1
Will Zelenskyy apologize to Trump by Friday?,2025-03-04,0.145,0,0,0
