title,url,matching_questions,similarity,date,yes_price,change_1d,change_3d,change_5d
"Remarks: Donald Trump Swears In Pam Bondi as Attorney General - February 5, 2025",https://player.vimeo.com/video/1054608157,Pam Bondi confirmed as Attorney General?,0.7741589546203613,2025-02-05,0.999,0,0,0
"Remarks: Donald Trump Swears In Pam Bondi as Attorney General - February 5, 2025",https://player.vimeo.com/video/1054608157,Will Pam Bondi be Trump's Attorney General?,0.7716999650001526,2025-02-05,0.9975,0,0,0
"Speech: Donald Trump Holds a Campaign Rally in Henderson, Nevada - October 31, 2024",https://player.vimeo.com/video/1025394586,"Will Trump say ""American dream"" 5 or more times during Nevada rally on Oct 31?",0.6094717979431152,2024-10-31,0.19,0,0,0
"Speech: Donald Trump Holds a Campaign Rally in Kinston, North Carolina - November 3, 2024",https://player.vimeo.com/video/1026158784,"Will Trump say ""North Carolina"" 20 or more during Greensboro, NC rally?",0.6338204145431519,2024-11-03,0.14,0,0,0
"Speech: Donald Trump Holds a Campaign Rally in Kinston, North Carolina - November 3, 2024",https://player.vimeo.com/video/1026158784,"Will Trump say ""vote"" 25 or more during Greensboro, NC rally?",0.612442135810852,2024-11-03,0.41,0,0,0
"Speech: Donald Trump Holds a Campaign Rally in Prescott Valley, Arizona - October 13, 2024",https://player.vimeo.com/video/1019816208,Kamala flips a 2020 Trump state?,0.6079629063606262,2024-10-13,0.375,0,1,0
"Speech: Donald Trump Holds a Campaign Rally in Salem, Virginia - November 2, 2024",https://player.vimeo.com/video/1025797723,"Will Trump say ""American dream"" 3 or more times during Virginia rally on Nov 2?",0.6124250292778015,2024-11-02,0.565,1,1,1
"Speech: Donald Trump Holds a Campaign Rally in State College, Pennsylvania - October 26, 2024",https://player.vimeo.com/video/1023848410,"Will Trump say ""North Carolina"" 5 or more times during Michigan rally on October 25?",0.6176918745040894,2024-10-26,0.12,0,0,0
"Speech: Donald Trump Holds a Campaign Rally in State College, Pennsylvania - October 26, 2024",https://player.vimeo.com/video/1023848410,"Will Trump say ""McDonald's"" during Pennsylvania rally on October 26?",0.6166399121284485,2024-10-26,0.85,1,1,1
"Speech: Donald Trump Holds a Campaign Rally in State College, Pennsylvania - October 26, 2024",https://player.vimeo.com/video/1023848410,"Will Trump say ""Ford"" during Michigan rally on October 25?",0.6100410223007202,2024-10-26,0.32,0,0,0
"Speech: Donald Trump Holds a Campaign Rally in State College, Pennsylvania - October 26, 2024",https://player.vimeo.com/video/1023848410,"Will Trump say ""American dream"" 3 or more times during Michigan rally on October 25?",0.6035337448120117,2024-10-26,0.42,0,0,0
"Speech: Donald Trump Holds a Campaign Rally in State College, Pennsylvania - October 26, 2024",https://player.vimeo.com/video/1023848410,"Will Trump say ""french fries"" during Pennsylvania rally on October 26?",0.6026419401168823,2024-10-26,0.385,1,1,1
"Speech: Donald Trump Holds a Political Rally in Saginaw, Michigan - October 3, 2024",https://player.vimeo.com/video/1017808681,"Will Trump say ""Make America Affordable Again"" during Michigan rally?",0.6181053519248962,2024-10-03,0.865,0,0,0
"Speech: Donald Trump Holds a Post-Inaugural Rally at Capitol One Arena - January 20, 2025",https://player.vimeo.com/video/1048746255,Will Biden pardon Trump?,0.6107636094093323,2025-01-20,0.025,0,0,0
"Speech: Donald Trump Holds a Post-Inaugural Rally at Capitol One Arena - January 20, 2025",https://player.vimeo.com/video/1048746255,Will Trump pardon January 6 protestors on Day 1?,0.6082203388214111,2025-01-20,0.925,1,1,1
