question,date,yes_price,no_price
Will Joe Biden endorse Donald Trump?,2024-10-08,0.0115,0.9885
Trump and Harris agree to Fox News debate?,2024-10-03,0.081,0.919
Donald & Melania Trump divorce before election?,2024-10-03,0.0205,0.9795
Will Trump mention $MAGA before Election?,2024-10-03,0.06,0.94
Will Biden pardon Trump?,2024-10-24,0.057,0.943
Donald & Melania Trump divorce before election?,2024-10-24,0.015,0.985
"Will Donald Trump say ""Putin"" during Super Bowl pregame interview?",2025-02-09,0.39,0.61
"Will Donald Trump say ""Border"" 5+ times during Super Bowl pregame interview?",2025-02-09,0.235,0.765
"Will Donald Trump say ""Russia"" 2+ times during Super Bowl pregame interview?",2025-02-09,0.46,0.54
"Will Donald Trump say ""Biden"" during Super Bowl pregame interview?",2025-02-09,0.38,0.62
Will Donald Trump be shown 3-5 times at the Super Bowl?,2025-02-09,0.285,0.715
Will Donald Trump be shown 12 or more times at the Super Bowl?,2025-02-09,0.045,0.955
Will Donald Trump be shown 6-8 times at the Super Bowl?,2025-02-09,0.185,0.815
"Will Donald Trump say ""Trudeau"" during Super Bowl pregame interview?",2025-02-09,0.125,0.875
"Will Donald Trump say ""Eagles"" during Super Bowl pregame interview?",2025-02-09,0.365,0.635
"Will Donald Trump say ""Patrick"" or ""Mahomes"" during Super Bowl pregame interview?",2025-02-09,0.295,0.705
"Will Donald Trump say ""China"" 3+ times during Super Bowl pregame interview?",2025-02-09,0.375,0.625
"Will Donald Trump say ""Chiefs"" during Super Bowl pregame interview?",2025-02-09,0.445,0.555
Will Donald Trump be shown 0-2 times at the Super Bowl?,2025-02-09,0.42,0.58
"Will Donald Trump say ""DOGE"" or ""Department of Governmental Efficiency"" during Super Bowl pregame interview?",2025-02-09,0.36,0.64
Will Donald Trump be shown 9-11 times at the Super Bowl?,2025-02-09,0.065,0.935
"Will Donald Trump say ""Ukraine"" during Super Bowl pregame interview?",2025-02-09,0.595,0.405
"Will Donald Trump say ""Trans"" during Super Bowl pregame interview?",2025-02-09,0.18,0.82
"Will Donald Trump say ""Panama"" during Super Bowl pregame interview?",2025-02-09,0.335,0.665
"Will Donald Trump say ""Greenland"" during Super Bowl pregame interview?",2025-02-09,0.14,0.86
"Will Donald Trump say ""Bills"" during Super Bowl pregame interview?",2025-02-09,0.12,0.88
"Will Donald Trump say ""Tariff"" 5+ times during Super Bowl pregame interview?",2025-02-09,0.245,0.755
"Will Donald Trump say ""DEI"" or ""Diversity Equity and Inclusion"" during Super Bowl pregame interview?",2025-02-09,0.26,0.74
"Will Donald Trump say ""Israel"" during Super Bowl pregame interview?",2025-02-09,0.595,0.405
"Will Donald Trump say ""Elon"" or ""Musk"" during Super Bowl pregame interview?",2025-02-09,0.455,0.545
Will Mike Rogers be Trump's FBI director?,2025-02-09,0.0015,0.9985
"Will Donald Trump say ""Taylor"" or ""Swift"" during Super Bowl pregame interview?",2025-02-09,0.11,0.89
Trump and Taylor Swift shake hands at Super Bowl LIX?,2025-02-09,0.05,0.95
"Will Donald Trump say ""Hell"" 3+ times during Super Bowl pregame interview?",2025-02-09,0.175,0.825
"Will Trump and Elon say ""Billion"" 10 or more times during their Feb 18 interview?",2025-02-21,0.014,0.986
Will Trump meet with Keir Starmer in his first 100 days?,2025-02-21,0.985,0.015
Will Elon talk more than Trump during Hannity interview?,2025-02-21,0.0165,0.9835
Will Donald Trump be named in Epstein files?,2025-02-21,0.09,0.91
"Will Trump and Elon say ""Saudi Arabia"" during their Feb 18 interview?",2025-02-21,0.0075,0.9925
Election certified on January 6?,2024-10-23,0.835,0.165
Trump eligible to vote in the election?,2024-10-23,0.9825,0.0175
Trump-Vance Republican ticket on election day?,2024-10-23,0.9885,0.0115
Will the election be called on Nov 5?,2024-10-23,0.215,0.785
Trump in jail before election day?,2024-10-23,0.0105,0.9895
Will Trump lead in RCP on Oct 25?,2024-10-23,0.0455,0.9545
"Will Trump say ""Vote"" 15 or more times during Georgia rally on October 23?",2024-10-23,0.735,0.265
Trump election interference trial doesn't start before November?,2024-10-23,0.982,0.018
Will Donald Trump win the 2024 US Presidential Election?,2024-10-23,0.6385,0.3615
Will Trump election interference trial start in September or October?,2024-10-23,0.0055,0.9945
Trump and Harris agree to Fox News debate?,2024-10-12,0.036,0.964
"Will Trump say ""border"" 20 or more times during California rally on October 12?",2024-10-12,0.785,0.215
"Will Trump say ""border"" 20 or more times during Arizona rally on October 13?",2024-10-12,0.87,0.13
Will Trump tweet on inauguration day?,2025-01-16,0.855,0.145
Trump ends Gaza war in first 100 days?,2025-01-16,0.945,0.055
Donald & Melania Trump divorce before election?,2024-10-18,0.0155,0.9845
Will Donald Trump win the popular vote in the 2024 Presidential Election?,2024-10-18,0.362,0.638
Will Donald Trump win the 2024 US Presidential Election?,2024-10-18,0.6185,0.3815
Trump eligible to vote in the election?,2024-10-18,0.9765,0.0235
Trump-Vance Republican ticket on election day?,2024-10-18,0.967,0.033
Trump fires campaign manager?,2024-10-14,0.045,0.955
"Will Trump say ""Hezbollah"" during North Carolina town hall?",2024-10-04,0.47,0.53
"Will Trump say ""tax queen"" during North Carolina town hall?",2024-10-04,0.41,0.59
"Will Trump say ""crypto"" or ""Bitcoin"" during North Carolina town hall?",2024-10-04,0.06,0.94
"Will Trump say ""trans"" during North Carolina town hall?",2024-10-04,0.235,0.765
"Will Trump say ""illegal alien"" during North Carolina town hall?",2024-10-04,0.62,0.38
"Will Trump say ""Kamala"" 40 or more times during North Carolina town hall?",2024-10-04,0.045,0.955
"Will Trump say ""MAGA"" 3 or more times during North Carolina town hall?",2024-10-04,0.24,0.76
Kamala flips a 2020 Trump state?,2024-10-04,0.435,0.565
"Will Trump say ""tampon"" during North Carolina town hall?",2024-10-04,0.14,0.86
"Will Trump say ""border"" 30 or more times during North Carolina town hall?",2024-10-04,0.095,0.905
"Will Trump say ""border"" 20 or more times during North Carolina town hall?",2024-10-04,0.355,0.645
Will Trump mention $MAGA before Election?,2024-10-04,0.065,0.935
"Will Trump say ""President Xi"" 2 or more times during North Carolina town hall?",2024-10-04,0.235,0.765
"Will Trump say ""McDonald's"" during Pennsylvania rally on October 19?",2024-10-20,0.755,0.245
"Will Trump say ""Starlink"" during Pennsylvania rally on October 19?",2024-10-20,0.785,0.215
"Will Trump say ""border"" 20 or more times during Pennsylvania rally on October 19?",2024-10-20,0.53,0.47
"Will Trump say ""border"" 30 or more times during Pennsylvania rally on October 19?",2024-10-20,0.145,0.855
"Will Trump say ""weave"" during Pennsylvania rally on October 19?",2024-10-20,0.125,0.875
"Will Trump say ""Trans"" during Pennsylvania rally on October 19?",2024-10-20,0.895,0.105
"Will Trump say ""Catholic"" during Georgia rally on October 28?",2024-10-28,0.275,0.725
"Will Trump say ""god"" 5 or more times during New York rally on October 27?",2024-10-28,0.21,0.79
Will Trump do a podcast with Hawk Tuah Girl?,2024-10-18,0.04,0.96
Donald & Melania Trump divorce before election?,2024-10-16,0.024,0.976
Trump nominates Elon Musk to Cabinet?,2024-10-14,0.14,0.86
Trump and Harris agree to Fox News debate?,2024-10-14,0.0215,0.9785
Will Donald Trump win the 2024 US Presidential Election?,2024-10-16,0.5715,0.4285
Will Donald Trump win the popular vote in the 2024 Presidential Election?,2024-10-16,0.3735,0.6265
Trump eligible to vote in the election?,2024-10-16,0.9735,0.0265
Trump ineligible to run for President?,2024-10-16,0.0045,0.9955
Trump nominates RFK Jr. to Cabinet?,2024-10-16,0.21,0.79
Trump nominates Elon Musk to Cabinet?,2024-10-16,0.145,0.855
Will any other Republican Politician win the popular vote in the 2024 Presidential Election?,2024-10-16,0.0015,0.9985
Will any other Republican Politician win the 2024 US Presidential Election?,2024-10-16,0.0035,0.9965
Will Chris Christie win the popular vote in the 2024 Presidential Election?,2024-10-16,0.0005,0.9995
Will Chris Christie win the 2024 US Presidential Election?,2024-10-16,0.0005,0.9995
Will RFK Jr. win the popular vote in the 2024 Presidential Election?,2024-10-16,0.0005,0.9995
Trump gets more black voters than in 2020?,2024-10-16,0.765,0.235
Will Trump drop out of presidential race?,2024-10-16,0.0235,0.9765
"Will Trump say ""China"" 5 or more times during New York rally on October 27?",2024-10-24,0.85,0.15
"Will Trump say ""China"" 10 or more times during Georgia rally on October 23?",2024-10-24,0.565,0.435
Trump and Harris agree to Fox News debate?,2024-10-07,0.046,0.954
Will Trump tweet 5-9 times October 4-11?,2024-10-07,0.008,0.992
Will Trump tweet 10-14 times October 4-11?,2024-10-07,0.0245,0.9755
Will Trump go on Joe Rogan before election?,2024-10-25,0.9705,0.0295
"Will Trump say ""tax"" 10 or more times on The Joe Rogan Experience?",2024-10-25,0.355,0.645
Will Joe Rogan announce he is voting for Trump?,2024-10-25,0.215,0.785
"Will Trump say ""Melania"" on The Joe Rogan Experience?",2024-10-25,0.445,0.555
"Will Trump say ""fake news"" on The Joe Rogan Experience?",2024-10-25,0.65,0.35
"Will Trump say ""FEMA"" on The Joe Rogan Experience?",2024-10-25,0.23,0.77
"Will Trump say ""Epstein"" on The Joe Rogan Experience?",2024-10-25,0.39,0.61
"Will Trump say ""alien"" on The Joe Rogan Experience?",2024-10-25,0.665,0.335
"Will Trump say ""weave"" on The Joe Rogan Experience?",2024-10-25,0.255,0.745
"Will Trump say ""Elon"" on The Joe Rogan Experience?",2024-10-25,0.925,0.075
"Will Trump say ""Kennedy"" on The Joe Rogan Experience?",2024-10-25,0.78,0.22
"Will Trump say ""women's sports"" on The Joe Rogan Experience?",2024-10-25,0.775,0.225
Will Trump x Rogan interview last 90-120 min?,2024-10-25,0.315,0.685
Will Trump x Rogan interview last 60-90 min?,2024-10-25,0.32,0.68
Will Trump x Rogan interview last 120-150 min?,2024-10-25,0.175,0.825
"Will Trump say ""FBI"" on The Joe Rogan Experience?",2024-10-25,0.625,0.375
"Will Trump say ""vaccine"" on The Joe Rogan Experience?",2024-10-25,0.445,0.555
Will Trump x Rogan interview be under 1 hour?,2024-10-25,0.15,0.85
Will Trump x Rogan interview last 150-180 min?,2024-10-25,0.04,0.96
Will Trump x Rogan interview last 180 min or more?,2024-10-25,0.022,0.978
"Will Trump say ""Dana"" on The Joe Rogan Experience?",2024-10-25,0.825,0.175
"Will Trump say ""McDonald's"" on The Joe Rogan Experience?",2024-10-25,0.79,0.21
"Will Trump say ""cold plunge"" on The Joe Rogan Experience?",2024-10-25,0.085,0.915
"Will Trump say ""Dark MAGA"" on The Joe Rogan Experience?",2024-10-25,0.155,0.845
"Will Trump say ""weed"" on The Joe Rogan Experience?",2024-10-25,0.24,0.76
Will any other Republican Politician win the popular vote in the 2024 Presidential Election?,2024-10-24,0.0005,0.9995
Will Donald Trump win the popular vote in the 2024 Presidential Election?,2024-10-24,0.3915,0.6085
Will any other Democrat Politician win the popular vote in the 2024 Presidential Election?,2024-10-24,0.0005,0.9995
Will any other Republican Politician win the 2024 US Presidential Election?,2024-10-24,0.0015,0.9985
Trump-Vance Republican ticket on election day?,2024-10-24,0.984,0.016
Will either Kamala or Trump win every swing state?,2024-10-24,0.375,0.625
Democrats win popular vote by 4-5%?,2024-10-24,0.06,0.94
Associated Press declares winner before 3am on Nov 6?,2024-10-24,0.33,0.67
Trump eligible to vote in the election?,2024-10-24,0.9825,0.0175
Will Trump mention $MAGA before Election?,2024-10-24,0.07,0.93
Will Gavin Newsom win the popular vote in the 2024 Presidential Election?,2024-10-24,0.0005,0.9995
Will Trump lead in RCP on Oct 25?,2024-10-24,0.0275,0.9725
Kamala flips a 2020 Trump state?,2024-10-24,0.29,0.71
Democrats win popular vote by 5-6%?,2024-10-24,0.06,0.94
Kamala Harris wins the popular vote?,2024-10-24,0.611,0.389
Democrats win popular vote by 3-4%?,2024-10-24,0.075,0.925
Democrats win popular vote by 7% or more?,2024-10-24,0.053,0.947
Democrats win popular vote by 0-1%?,2024-10-24,0.11,0.89
Will Donald Trump win the 2024 US Presidential Election?,2024-10-24,0.6365,0.3635
Donald & Melania Trump divorce before election?,2024-10-24,0.015,0.985
Democrats win popular vote by 6-7%?,2024-10-24,0.0345,0.9655
GOP wins popular vote by 4-5%?,2024-10-24,0.0315,0.9685
Democrats win popular vote by 2-3%?,2024-10-24,0.11,0.89
Will the election be called on Nov 5?,2024-10-24,0.21,0.79
Will Kanye West win the popular vote in the 2024 Presidential Election?,2024-10-24,0.0005,0.9995
Democrats win popular vote by 1-2%?,2024-10-24,0.115,0.885
Will Trump win 5 swing states?,2024-10-24,0.12,0.88
Will Donald Trump win the 2024 US Presidential Election?,2024-10-15,0.5365,0.4635
Trump nominates RFK Jr. to Cabinet?,2024-10-15,0.195,0.805
Will Trump launch a coin before the election?,2024-10-15,0.815,0.185
Trump blowout victory?,2024-10-15,0.13,0.87
Will Donald Trump win the popular vote in the 2024 Presidential Election?,2024-10-15,0.2635,0.7365
Trump nominates Elon Musk to Cabinet?,2024-10-15,0.14,0.86
Will Trump drop out of presidential race?,2024-10-22,0.0125,0.9875
Trump-Vance Republican ticket on election day?,2024-10-22,0.9885,0.0115
Trump ineligible to run for President?,2024-10-22,0.0055,0.9945
Trump fires campaign manager?,2024-10-22,0.012,0.988
Will Trump tweet 50 or more times October 18-25?,2024-10-22,0.375,0.625
Trump eligible to vote in the election?,2024-10-22,0.9775,0.0225
Donald & Melania Trump divorce before election?,2024-10-22,0.0135,0.9865
Will Trump tweet 40-44 times October 18-25?,2024-10-22,0.25,0.75
Will Trump tweet 25-29 times October 18-25?,2024-10-22,0.0075,0.9925
Will Trump tweet 30-34 times October 18-25?,2024-10-22,0.055,0.945
Will Trump tweet 45-49 times October 18-25?,2024-10-22,0.205,0.795
Will Trump tweet 35-39 times October 18-25?,2024-10-22,0.135,0.865
Will Donald Trump win the 2024 US Presidential Election?,2024-10-22,0.6175,0.3825
Trump wins every swing state?,2024-10-22,0.315,0.685
Will Pete Hegseth be Trump's Defense Secretary?,2024-12-08,0.415,0.585
Pete Hegseth confirmed as Secretary of Defense?,2024-12-08,0.385,0.615
Five Trump Cabinet confirmations in January?,2024-12-08,0.145,0.855
Nine Trump Cabinet confirmations in January?,2024-12-08,0.07,0.93
Eight Trump Cabinet confirmations in January?,2024-12-08,0.07,0.93
Seven Trump Cabinet confirmations in January?,2024-12-08,0.115,0.885
Three Trump Cabinet confirmations in January?,2024-12-08,0.135,0.865
Six Trump Cabinet confirmations in January?,2024-12-08,0.09,0.91
Four Trump Cabinet confirmations in January?,2024-12-08,0.195,0.805
Will RFK Jr. be Trump's HHS Secretary?,2024-12-08,0.6635,0.3365
Will Ron DeSantis be Trump's Defense Secretary?,2024-12-08,0.245,0.755
Will Mike Rogers be Trump's Defense Secretary?,2024-12-08,0.0295,0.9705
Will Trump formally nominate RFK Jr. to the cabinet?,2024-12-08,0.8075,0.1925
Trump nominates Elon Musk to Cabinet?,2024-12-08,0.054,0.946
"Will Trump say ""Pete"" or ""Hegseth"" during NBC interview?",2024-12-08,0.993,0.007
Two Trump Cabinet confirmations in January?,2024-12-08,0.065,0.935
Will Brian Blase be Trump's HHS Secretary?,2024-12-08,0.0045,0.9955
One Trump Cabinet confirmation in January?,2024-12-08,0.0175,0.9825
Will Eric Hargan be Trump's HHS Secretary?,2024-12-08,0.0045,0.9955
Ten or more Trump Cabinet confirmations in January?,2024-12-08,0.075,0.925
Will RFK be a member of the Trump administration?,2024-12-08,0.9245,0.0755
Will Joe Grogan be Trump's HHS Secretary?,2024-12-08,0.0015,0.9985
Trump declassifies Epstein list in first 100 days?,2024-12-08,0.325,0.675
Will Bobby Jindal be Trump's HHS Secretary?,2024-12-08,0.0165,0.9835
Will Joni Ernst be Trump's Defense Secretary?,2024-12-08,0.044,0.956
Will Thomas Massie be Trump's Defense Secretary?,2024-12-08,0.0015,0.9985
Will Paul Mango be Trump's HHS Secretary?,2024-12-08,0.0025,0.9975
Doug Collins confirmed as Secretary of Veterans Affairs?,2024-12-08,0.935,0.065
RFK Jr. confirmed as Health & Human Services Secretary?,2024-12-08,0.69,0.31
Will Ken Paxton be Trump's Attorney General?,2024-12-08,0.0155,0.9845
Will Matthew Whitaker be Trump's Attorney General?,2024-12-08,0.0105,0.9895
No Trump Cabinet confirmations in January?,2024-12-08,0.0205,0.9795
Will Mike Rogers be Trump's FBI director?,2024-12-08,0.049,0.951
Will Susie Wiles be Trump's Chief of Staff on Jan 31?,2024-12-08,0.94,0.06
Will Tom Cotton be Trump's Defense Secretary?,2024-12-08,0.012,0.988
Will Christopher Miller be Trump's Defense Secretary?,2024-12-08,0.01,0.99
Will Mike Gallagher be Trump's Defense Secretary?,2024-12-08,0.0705,0.9295
Will Ben Carson be Trump's HHS Secretary?,2024-12-08,0.077,0.923
Will Ken Paxton be Trump's FBI director?,2024-12-08,0.0355,0.9645
Will Trump use a recess appointment for Matt Gaetz?,2024-12-08,0.0085,0.9915
Will Mike Pompeo be Trump's Defense Secretary?,2024-12-08,0.0025,0.9975
Will Andrew Bailey be Trump's Attorney General?,2024-12-08,0.0045,0.9955
Will Robert O'Brien be Trump's Defense Secretary?,2024-12-08,0.0035,0.9965
Will Todd Blanche be Trump's Attorney General?,2024-12-08,0.018,0.982
Will Mike Davis be Trump's Attorney General?,2024-12-08,0.0045,0.9955
Will Matt Gaetz be Trump's Attorney General?,2024-12-08,0.0145,0.9855
Will Jay Clayton be Trump's Attorney General?,2024-12-08,0.003,0.997
Will Joe Biden attend presidential inauguration?,2024-12-08,0.955,0.045
Will Doug Burgum be a member of the Trump administration?,2024-12-08,0.9755,0.0245
Will Trump declare a national emergency in his first 100 days?,2024-12-08,0.685,0.315
Will Trump do a podcast with Hawk Tuah Girl?,2024-10-14,0.034,0.966
Will RFK Jr. debate Biden/Trump?,2024-10-14,0.006,0.994
Donald & Melania Trump divorce before election?,2024-10-14,0.022,0.978
Will Trump be Speaker by January 1?,2024-10-14,0.0135,0.9865
Trump nominates RFK Jr. to Cabinet?,2024-10-14,0.205,0.795
Trump and Harris agree to Fox News debate?,2024-10-04,0.0675,0.9325
Trump sentenced to community service?,2024-10-05,0.016,0.984
Trump sentenced to house arrest?,2024-10-05,0.0115,0.9885
Trump sentenced to no prison time?,2024-10-05,0.9825,0.0175
"Will Trump say ""Starlink"" during Pennsylvania rally on October 19?",2024-10-20,0.785,0.215
"Will Trump say ""Get out and vote"" during Pennsylvania town hall on October 20?",2024-10-20,0.4,0.6
"Will Trump say ""Tip"" during Pennsylvania town hall on October 20?",2024-10-20,0.43,0.57
"Will Trump say ""Hamas"" during Pennsylvania town hall on October 20?",2024-10-20,0.25,0.75
"Will Trump say ""Trans"" during Pennsylvania town hall on October 20?",2024-10-20,0.395,0.605
"Will Trump say ""border"" 20 or more times during Pennsylvania town hall on October 20?",2024-10-20,0.185,0.815
"Will Trump say ""Hamas"" during Pennsylvania rally on October 19?",2024-10-20,0.12,0.88
"Will Trump say ""border"" 20 or more times during Pennsylvania rally on October 19?",2024-10-20,0.53,0.47
"Will Trump say ""border"" 10 or more times during Pennsylvania town hall on October 20?",2024-10-20,0.74,0.26
"Will Trump say ""Biden"" during Pennsylvania rally on October 19?",2024-10-20,0.955,0.045
"Will Trump say ""Russia"" during Pennsylvania town hall on October 20?",2024-10-20,0.615,0.385
"Will Trump say ""border"" 30 or more times during Pennsylvania rally on October 19?",2024-10-20,0.145,0.855
"Will Trump say ""weave"" during Pennsylvania rally on October 19?",2024-10-20,0.125,0.875
"Will Trump say ""AI"" during Pennsylvania town hall on October 20?",2024-10-20,0.12,0.88
"Will Trump say ""60 Minutes"" during Pennsylvania town hall on October 20?",2024-10-20,0.125,0.875
"Will Trump say ""McDonald's"" during Pennsylvania rally on October 19?",2024-10-20,0.755,0.245
"Will Trump say ""Trans"" during Pennsylvania rally on October 19?",2024-10-20,0.895,0.105
"Will Trump say ""Comrade Kamala"" during Pennsylvania town hall on October 20?",2024-10-20,0.195,0.805
"Will Trump say ""Melania"" during Pennsylvania rally on October 19?",2024-10-20,0.18,0.82
"Will Trump say ""MAGA"" 3 or more times during Pennsylvania town hall on October 20?",2024-10-20,0.32,0.68
"Will Trump say ""China"" 3 or more times during Pennsylvania town hall on October 20?",2024-10-20,0.745,0.255
"Will Trump say ""60 minutes"" during Pennsylvania rally on October 19?",2024-10-20,0.21,0.79
"Will Trump say ""Liquid gold"" during Pennsylvania town hall on October 20?",2024-10-20,0.76,0.24
"Will Trump say ""Dark MAGA"" during Pennsylvania rally on October 19?",2024-10-20,0.33,0.67
"Will Trump say ""MAGA"" 3 or more times during Pennsylvania rally on October 19?",2024-10-20,0.65,0.35
"Will Trump say ""crypto"" or ""Bitcoin"" during Pennsylvania town hall on October 20?",2024-10-20,0.045,0.955
"Will Trump say ""Elon"" during Pennsylvania town hall on October 20?",2024-10-20,0.745,0.255
"Will Trump say ""China"" 10 or more times during Pennsylvania rally on October 19?",2024-10-20,0.195,0.805
"Will Trump say ""inflation"" 5 or more times during Pennsylvania town hall on October 20?",2024-10-20,0.655,0.345
"Will Trump say ""Israel"" during Pennsylvania rally on October 19?",2024-10-20,0.61,0.39
"Rabois Parlay: Trump wins PA, MI, GA and AZ?",2024-10-20,0.37,0.63
"Will Trump say ""Women's sports"" during Pennsylvania town hall on October 20?",2024-10-20,0.385,0.615
"Will Trump say ""Kamala"" 10 or more times during Pennsylvania town hall on October 20?",2024-10-20,0.2,0.8
"Will Trump say ""Tren de Aragua"" during Pennsylvania rally on October 19?",2024-10-20,0.76,0.24
Will Pennsylvania be the closest state?,2024-10-20,0.16,0.84
"Will Trump say ""gun"" 3 or more times during Pennsylvania rally on October 19?",2024-10-20,0.585,0.415
Will Trump win another state by the largest margin?,2024-10-20,0.022,0.978
"Will Trump say ""Hispanic"" 3 or more times during Pennsylvania town hall on October 20?",2024-10-20,0.4,0.6
Trump-Vance Republican ticket on election day?,2024-10-20,0.9895,0.0105
Will Trump post 110-119 times on Truth March 7-14?,2025-03-09,0.1,0.9
Will Trump post 150 or more times on Truth March 7-14?,2025-03-09,0.037,0.963
Will Trump post 140-149 times on Truth March 7-14?,2025-03-09,0.0705,0.9295
Will Trump post 50-59 times on Truth March 7-14?,2025-03-09,0.1,0.9
Will Trump post 80-89 times on Truth March 7-14?,2025-03-09,0.15,0.85
Will Trump post 90-99 times on Truth March 7-14?,2025-03-09,0.135,0.865
Will Trump post 100-109 times on Truth March 7-14?,2025-03-09,0.065,0.935
Will Trump post 70-79 times on Truth March 7-14?,2025-03-09,0.14,0.86
Will Trump post 120-129 times on Truth March 7-14?,2025-03-09,0.1,0.9
Will Trump post 60-69 times on Truth March 7-14?,2025-03-09,0.16,0.84
Will Trump post 130-139 times on Truth March 7-14?,2025-03-09,0.076,0.924
Will Trump post less than 50 times on Truth March 7-14?,2025-03-09,0.06,0.94
"Will Trump say ""border"" 20 or more times during California rally on October 12?",2024-10-13,0.795,0.205
"Will Trump say ""border"" 30 or more times during California rally on October 12?",2024-10-13,0.33,0.67
"Will Trump say ""border"" 20 or more times during Arizona rally on October 13?",2024-10-13,0.895,0.105
"Will Trump say ""every state is a border state"" during Arizona rally on October 13?",2024-10-13,0.48,0.52
"Will Trump say ""border"" 35 or more times during Arizona rally on October 13?",2024-10-13,0.46,0.54
"Will Trump say ""hispanic"" during Arizona rally on October 13?",2024-10-13,0.79,0.21
"Will Trump say ""Border Kari Lake"" during Arizona rally on October 13?",2024-10-13,0.625,0.375
"Will Trump say ""Venezuela"" 3 or more times during Arizona rally on October 13?",2024-10-13,0.675,0.325
"Will Trump say ""unrealized"" during California rally on October 12?",2024-10-13,0.665,0.335
"Will Trump say ""crypto"" or ""Bitcoin"" during California rally on October 12?",2024-10-13,0.037,0.963
Donald & Melania Trump divorce before election?,2024-10-21,0.0135,0.9865
Trump positive favorability on March 1?,2025-02-10,0.17,0.83
Donald & Melania Trump divorce before election?,2024-10-22,0.0135,0.9865
Will Trump mention $MAGA before Election?,2024-10-19,0.07,0.93
"Will Trump say ""American dream"" 3 or more times during Michigan rally on October 18?",2024-10-19,0.575,0.425
Trump wins and picks Dimon for Treasury Secretary?,2024-10-19,0.08,0.92
Will Joe Biden endorse Donald Trump?,2024-10-19,0.0175,0.9825
Will Donald Trump win the 2024 US Presidential Election?,2024-10-19,0.6045,0.3955
Will Trump lead in RCP on Oct 25?,2024-10-19,0.0645,0.9355
Trump blowout victory?,2024-10-19,0.135,0.865
"Will Trump say ""Israel"" during Pennsylvania rally on October 19?",2024-10-20,0.61,0.39
"Will Trump say ""Hamas"" during Pennsylvania rally on October 19?",2024-10-20,0.12,0.88
Donald & Melania Trump divorce before election?,2024-10-17,0.0245,0.9755
Trump wins every swing state?,2024-10-17,0.305,0.695
"Will Trump say ""JD Vance"" during Univision town hall?",2024-10-17,0.245,0.755
"Will Trump say ""Pennsylvania"" 20 or more times during Pittsburgh rally on Nov 4?",2024-11-05,0.23,0.77
Will Joe Biden endorse Donald Trump?,2024-11-05,0.005,0.995
"Will Trump say ""think of it"" 5 or more times during Pittsburgh rally on Nov 4?",2024-11-05,0.475,0.525
"Will Trump say ""Shanghai"" during Michigan rally on Nov 4?",2024-11-05,0.42,0.58
Will Joe Biden attend presidential inauguration?,2025-01-13,0.9825,0.0175
"Will Trump say ""Biden"" during his inauguration speech?",2025-01-13,0.905,0.095
Trump inauguration gets more viewers than Biden's?,2025-01-13,0.26,0.74
Will Mike Gallagher be Trump's Defense Secretary?,2025-01-13,0.0195,0.9805
