title,url,matching_questions,similarity
Caitlyn Jenner: Kamala Harris has the 'word salad' I can't stand,https://www.youtube.com/watch?v=O11SQknSzwU,Will John Fetterman vote to confirm Lori Chavez-DeRemer as Secretary of Labor?,0.4353024959564209
"Greg Gutfeld: As Trump embraces the future, these liberals distort the past",https://www.youtube.com/watch?v=vrk9ihu0BJc,Price of eggs goes up in Trump's first month?,0.42822182178497314
Trump speaks at first-ever White House crypto summit,https://www.youtube.com/watch?v=8aOeAMtKjY0,Will Jack Dorsey attend the March 7 Crypto Summit?,0.40506428480148315
'ONLY I KNOW': Trump says Russia has 'no choice' but to make Ukraine deal,https://www.youtube.com/watch?v=UmacdP3H8n8,Will Trump cut Ukraine off from Starlink?,0.4626820385456085
'ONLY I KNOW': Trump says Russia has 'no choice' but to make Ukraine deal,https://www.youtube.com/watch?v=UmacdP3H8n8,Will Zelenskyy apologize to Trump by Friday?,0.42667263746261597
Democrats confronted after Trump speech: 'Why didn't you stand?',https://www.youtube.com/watch?v=sNphJuRp5m0,Will Zelenskyy apologize to Trump by Friday?,0.418036550283432
Homan doubles down on warning to blue cities: 'We ARE bringing hell!',https://www.youtube.com/watch?v=YB_2DLv1oFY,Will Trump pass a border/immigration law in first 100 days?,0.4843974709510803
Homan doubles down on warning to blue cities: 'We ARE bringing hell!',https://www.youtube.com/watch?v=YB_2DLv1oFY,Will Trump cut Ukraine off from Starlink?,0.40202921628952026
Homan doubles down on warning to blue cities: 'We ARE bringing hell!',https://www.youtube.com/watch?v=YB_2DLv1oFY,Will Trump's 538 approval rating be less than 46.5% on March 7?,0.4009391665458679
"Trump hammers 'MSDNC,' calls for resignation of Maddow, Wallace",https://www.youtube.com/watch?v=I1RVVIKycv0,Will Trump issue an executive order on March 9?,0.41241416335105896
"Trump hammers 'MSDNC,' calls for resignation of Maddow, Wallace",https://www.youtube.com/watch?v=I1RVVIKycv0,Will Trump issue an executive order on March 5?,0.40318217873573303
"Trump hammers 'MSDNC,' calls for resignation of Maddow, Wallace",https://www.youtube.com/watch?v=I1RVVIKycv0,Will Donald Trump sign 5-9 executive orders in March?,0.40099653601646423
Gutfeld: Dems are enlisting Elmo and Big Bird in war on DOGE,https://www.youtube.com/watch?v=Z3yvP00iSPY,Trump admin announces cutting Ukraine aid by Friday?,0.4410485029220581
Greg Gutfeld: Will Zelenskyy's 'grovelling' work on Trump?,https://www.youtube.com/watch?v=4W2e0cKw6T4,Will Zelenskyy apologize to Trump by Friday?,0.5909528136253357
Greg Gutfeld: Will Zelenskyy's 'grovelling' work on Trump?,https://www.youtube.com/watch?v=4W2e0cKw6T4,Will Trump cut Ukraine off from Starlink?,0.4836040139198303
Greg Gutfeld: Will Zelenskyy's 'grovelling' work on Trump?,https://www.youtube.com/watch?v=4W2e0cKw6T4,Trump admin announces cutting Ukraine aid by Friday?,0.46961963176727295
Greg Gutfeld: Will Zelenskyy's 'grovelling' work on Trump?,https://www.youtube.com/watch?v=4W2e0cKw6T4,"Will Donald Trump say ""Russia"" during Crypto Summit on Friday?",0.4598463475704193
Greg Gutfeld: Will Zelenskyy's 'grovelling' work on Trump?,https://www.youtube.com/watch?v=4W2e0cKw6T4,Trump announces cutting all military aid to Ukraine aid before April?,0.4315027594566345
BREAKING: Trump suspends most new tariffs on Mexico,https://www.youtube.com/watch?v=b_w1zkS9o3E,Will Trump lower automobile tariffs on Canada/Mexico by next Friday?,0.6255674362182617
BREAKING: Trump suspends most new tariffs on Mexico,https://www.youtube.com/watch?v=b_w1zkS9o3E,25% aluminum tariff in effect before May?,0.4513758420944214
BREAKING: Trump suspends most new tariffs on Mexico,https://www.youtube.com/watch?v=b_w1zkS9o3E,25% steel tariff in effect before May?,0.43169867992401123
Trump to revoke legal status of 240K+ Ukrainians who fled to the US: Report,https://www.youtube.com/watch?v=sS4S-oXqcow,Trump announces cutting all military aid to Ukraine aid before April?,0.6209406852722168
Trump to revoke legal status of 240K+ Ukrainians who fled to the US: Report,https://www.youtube.com/watch?v=sS4S-oXqcow,Trump admin announces cutting Ukraine aid by Friday?,0.6017986536026001
Trump to revoke legal status of 240K+ Ukrainians who fled to the US: Report,https://www.youtube.com/watch?v=sS4S-oXqcow,Will Trump cut Ukraine off from Starlink?,0.5482059717178345
Trump to revoke legal status of 240K+ Ukrainians who fled to the US: Report,https://www.youtube.com/watch?v=sS4S-oXqcow,"Will Donald Trump say ""Russia"" during Crypto Summit on Friday?",0.4710639715194702
Trump to revoke legal status of 240K+ Ukrainians who fled to the US: Report,https://www.youtube.com/watch?v=sS4S-oXqcow,"Will Donald Trump say ""Milady"" during Crypto Summit on Friday?",0.4398285150527954
Trump to revoke legal status of 240K+ Ukrainians who fled to the US: Report,https://www.youtube.com/watch?v=sS4S-oXqcow,Will Zelenskyy apologize to Trump by Friday?,0.433133602142334
Trump issues unprecedented warning to Hamas: Israel will 'finish the job',https://www.youtube.com/watch?v=zHBbs6bwF3I,Will Trump lower automobile tariffs on Canada/Mexico by next Friday?,0.4970335066318512
'DISGUSTING': Piers Morgan slams MSNBC anchor's politicized comments about child with cancer,https://www.youtube.com/watch?v=pWoiLTTTAks,Trump negative approval by Friday?,0.4053654968738556
'DISGUSTING': Piers Morgan slams MSNBC anchor's politicized comments about child with cancer,https://www.youtube.com/watch?v=pWoiLTTTAks,Will Trump post 80-89 times on Truth Feb 28 - March 7?,0.4007779359817505
Marco Rubio: Only Trump can make this possible,https://www.youtube.com/watch?v=LwD9Qa7X7Ns,Trump announces cutting all military aid to Ukraine aid before April?,0.542030930519104
Marco Rubio: Only Trump can make this possible,https://www.youtube.com/watch?v=LwD9Qa7X7Ns,Will Trump cut Ukraine off from Starlink?,0.5082837343215942
Marco Rubio: Only Trump can make this possible,https://www.youtube.com/watch?v=LwD9Qa7X7Ns,Trump admin announces cutting Ukraine aid by Friday?,0.5036923885345459
Marco Rubio: Only Trump can make this possible,https://www.youtube.com/watch?v=LwD9Qa7X7Ns,"Will Donald Trump say ""Russia"" during Crypto Summit on Friday?",0.4024851322174072
Elon Musk meets with House GOP after SCOTUS delivers blow to Trump admin,https://www.youtube.com/watch?v=Q0AWC5ZFiXY,Trump announces cutting all military aid to Ukraine aid before April?,0.5128275156021118
Elon Musk meets with House GOP after SCOTUS delivers blow to Trump admin,https://www.youtube.com/watch?v=Q0AWC5ZFiXY,Trump admin announces cutting Ukraine aid by Friday?,0.47631561756134033
Elon Musk meets with House GOP after SCOTUS delivers blow to Trump admin,https://www.youtube.com/watch?v=Q0AWC5ZFiXY,"Will Donald Trump say ""Dogecoin"" during Crypto Summit on Friday?",0.4462721347808838
Elon Musk meets with House GOP after SCOTUS delivers blow to Trump admin,https://www.youtube.com/watch?v=Q0AWC5ZFiXY,Trump negative approval by Friday?,0.4245019853115082
Elon Musk meets with House GOP after SCOTUS delivers blow to Trump admin,https://www.youtube.com/watch?v=Q0AWC5ZFiXY,"Will Donald Trump say ""Hack"" during Crypto Summit on Friday?",0.4105672538280487
Elon Musk meets with House GOP after SCOTUS delivers blow to Trump admin,https://www.youtube.com/watch?v=Q0AWC5ZFiXY,"Will Donald Trump say ""ETF"" or ""Exchange Traded Fund"" during Crypto Summit on Friday?",0.4047306180000305
Elon Musk meets with House GOP after SCOTUS delivers blow to Trump admin,https://www.youtube.com/watch?v=Q0AWC5ZFiXY,Trump negative approval before April?,0.4011463522911072
Trump speaks to Canadas Trudeau after doubling down on tariffs,https://www.youtube.com/watch?v=6c8AAqATVvQ,25% steel tariff in effect before May?,0.4304651618003845
Trump speaks to Canadas Trudeau after doubling down on tariffs,https://www.youtube.com/watch?v=6c8AAqATVvQ,25% aluminum tariff in effect before May?,0.41005659103393555
"'SWORD OF JUSTICE': Trump, Kash Patel announce Abbey Gate terror arrest",https://www.youtube.com/watch?v=UOLVNFIzCTY,Trump admin announces cutting Ukraine aid by Friday?,0.4296185374259949
"'SWORD OF JUSTICE': Trump, Kash Patel announce Abbey Gate terror arrest",https://www.youtube.com/watch?v=UOLVNFIzCTY,Trump announces cutting all military aid to Ukraine aid before April?,0.4135226011276245
"'WORSE THAN EVER': Dems refuse to cheer cancer survivor, military and more",https://www.youtube.com/watch?v=Jpknkc1JvjU,Trump admin announces cutting Ukraine aid by Friday?,0.6124439239501953
"'WORSE THAN EVER': Dems refuse to cheer cancer survivor, military and more",https://www.youtube.com/watch?v=Jpknkc1JvjU,Trump announces cutting all military aid to Ukraine aid before April?,0.6115344166755676
"'WORSE THAN EVER': Dems refuse to cheer cancer survivor, military and more",https://www.youtube.com/watch?v=Jpknkc1JvjU,Will Trump cut Ukraine off from Starlink?,0.5159041881561279
"'WORSE THAN EVER': Dems refuse to cheer cancer survivor, military and more",https://www.youtube.com/watch?v=Jpknkc1JvjU,"Will Donald Trump say ""Russia"" during Crypto Summit on Friday?",0.477693647146225
"'WORSE THAN EVER': Dems refuse to cheer cancer survivor, military and more",https://www.youtube.com/watch?v=Jpknkc1JvjU,Will Zelenskyy apologize to Trump by Friday?,0.4720064103603363
"'WORSE THAN EVER': Dems refuse to cheer cancer survivor, military and more",https://www.youtube.com/watch?v=Jpknkc1JvjU,"Will Donald Trump say ""Milady"" during Crypto Summit on Friday?",0.47127091884613037
"'WORSE THAN EVER': Dems refuse to cheer cancer survivor, military and more",https://www.youtube.com/watch?v=Jpknkc1JvjU,"Will Donald Trump say ""Barron"" during Crypto Summit on Friday?",0.45908287167549133
