title,url,matching_questions,similarity,yes_price,change_1d,change_3d,change_5d,upload_date
"'WORSE THAN EVER': Dems refuse to cheer cancer survivor, military and more",https://www.youtube.com/watch?v=Jpknkc1JvjU,Trump admin announces cutting Ukraine aid by Friday?,0.6124439239501953,0.994,1,1,1,2025-03-05T16:15:02Z
"'WORSE THAN EVER': Dems refuse to cheer cancer survivor, military and more",https://www.youtube.com/watch?v=Jpknkc1JvjU,Trump announces cutting all military aid to Ukraine aid before April?,0.6115344166755676,0.994,1,1,1,2025-03-05T16:15:02Z
"Zelenskyy says Oval Office spat was regrettable, asks Trump for another chance at peace talks",https://www.youtube.com/watch?v=FM9TqkvTK44,Trump announces cutting all military aid to Ukraine aid before April?,0.7031689882278442,0.63,1,1,1,2025-03-04T22:30:03Z
"Zelenskyy says Oval Office spat was regrettable, asks Trump for another chance at peace talks",https://www.youtube.com/watch?v=FM9TqkvTK44,Trump admin announces cutting Ukraine aid by Friday?,0.6584839224815369,0.885,1,1,1,2025-03-04T22:30:03Z
'REALLY SET HIM OFF': VP Vance explains Zelenskyy clash,https://www.youtube.com/watch?v=T0RHvRh2OD0,Will Zelenskyy apologize to Trump by Friday?,0.6218019127845764,0.145,-1,-1,-1,2025-03-04T21:00:21Z
Karoline Leavitt sends message to Dems planning to disrupt Trump address,https://www.youtube.com/watch?v=FxH-hLkiiWI,Will Trump's joint address to Congress be 80 min or more?,0.6020898818969727,0.32,1,1,1,2025-03-04T15:30:06Z
Dems plan to disrupt Trump speech with props: report,https://www.youtube.com/watch?v=vOQqOhJpnBc,Will Trump's joint address to Congress be 80 min or more?,0.6213580369949341,0.32,1,1,1,2025-03-04T14:01:06Z
Dems plan to disrupt Trump speech with props: report,https://www.youtube.com/watch?v=vOQqOhJpnBc,Will Trump's joint address to Congress be 50-60 min?,0.6099863052368164,0.13,-1,-1,-1,2025-03-04T14:01:06Z
Dems plan to disrupt Trump speech with props: report,https://www.youtube.com/watch?v=vOQqOhJpnBc,Will Trump's joint address to Congress be 70-80 min?,0.6073720455169678,0.295,-1,-1,-1,2025-03-04T14:01:06Z
Dems plan to disrupt Trump speech with props: report,https://www.youtube.com/watch?v=vOQqOhJpnBc,Will Trump's joint address to Congress be 60-70 min?,0.6069666147232056,0.175,1,1,1,2025-03-04T14:01:06Z
Europe must step up and 'stand on its own' against Putin: Rep. Mast,https://www.youtube.com/watch?v=ihXKZHpLu_k,Trump announces cutting all military aid to Ukraine aid before April?,0.6406593918800354,0.63,1,1,1,2025-03-04T13:15:04Z
Europe must step up and 'stand on its own' against Putin: Rep. Mast,https://www.youtube.com/watch?v=ihXKZHpLu_k,Trump admin announces cutting Ukraine aid by Friday?,0.6217791438102722,0.885,1,1,1,2025-03-04T13:15:04Z
Trump warns Zelenskyy: 'He better not be right about that',https://www.youtube.com/watch?v=T3uSZKiziu4,Trump announces cutting all military aid to Ukraine aid before April?,0.7236361503601074,0.63,1,1,1,2025-03-04T12:00:43Z
Trump warns Zelenskyy: 'He better not be right about that',https://www.youtube.com/watch?v=T3uSZKiziu4,Trump admin announces cutting Ukraine aid by Friday?,0.6732124090194702,0.885,1,1,1,2025-03-04T12:00:43Z
"Fox News Highlights - March 3, 2025",https://www.youtube.com/watch?v=qfE--A2VLrM,Trump announces cutting all military aid to Ukraine aid before April?,0.691548228263855,0.63,1,1,1,2025-03-04T10:30:22Z
"Fox News Highlights - March 3, 2025",https://www.youtube.com/watch?v=qfE--A2VLrM,Trump admin announces cutting Ukraine aid by Friday?,0.6569727659225464,0.885,1,1,1,2025-03-04T10:30:22Z
Laura Ingraham: It's Trump's job to clean up the mess the old establishment left behind,https://www.youtube.com/watch?v=QOvnw849_mo,Trump announces cutting all military aid to Ukraine aid before April?,0.691548228263855,0.63,1,1,1,2025-03-04T02:00:16Z
Laura Ingraham: It's Trump's job to clean up the mess the old establishment left behind,https://www.youtube.com/watch?v=QOvnw849_mo,Trump admin announces cutting Ukraine aid by Friday?,0.6569727659225464,0.885,1,1,1,2025-03-04T02:00:16Z
Peter Doocy: This is quite a disconnect,https://www.youtube.com/watch?v=9etIqvF-eeI,Will Zelenskyy apologize to Trump by Friday?,0.6571702361106873,0.145,-1,-1,-1,2025-03-04T01:15:00Z
BREAKING: U.S. pausing all military aid to Ukraine,https://www.youtube.com/watch?v=RafbJNWCNbc,Trump announces cutting all military aid to Ukraine aid before April?,0.6989537477493286,0.63,1,1,1,2025-03-04T00:11:12Z
BREAKING: U.S. pausing all military aid to Ukraine,https://www.youtube.com/watch?v=RafbJNWCNbc,Trump admin announces cutting Ukraine aid by Friday?,0.6352744698524475,0.885,1,1,1,2025-03-04T00:11:12Z
Trump commerce sec dings Zelenskyy over 'ridiculous' requests,https://www.youtube.com/watch?v=3izoRfurWko,Trump tariffs on Mexico in effect by May 1?,0.6478410959243774,0.62,1,1,1,2025-03-03T01:30:04Z
Trump commerce sec dings Zelenskyy over 'ridiculous' requests,https://www.youtube.com/watch?v=3izoRfurWko,Will Trump increase tariffs on China before May?,0.6088088154792786,0.8,1,1,1,2025-03-03T01:30:04Z
"Zelenskyy was insulting to the US, White House official Stephen Miller says",https://www.youtube.com/watch?v=AghddzMiRV0,Will Zelenskyy apologize to Trump by Sunday?,0.6211379170417786,0.195,-1,-1,-1,2025-03-01T05:30:03Z
Jesse Watters: Zelenskyy really screwed up,https://www.youtube.com/watch?v=7kWvW98PRxU,Will Zelenskyy apologize to Trump by Sunday?,0.6015805006027222,0.195,-1,-1,-1,2025-03-01T02:45:00Z
Zelenskyy asked whether he owes Trump an apology,https://www.youtube.com/watch?v=GfqLcBwUT_E,"Will Donald Trump say ""Ukraine"" 10+ times during his presser with Zelenskyy on Feb 28?",0.6303414702415466,0.5,-1,-1,-1,2025-02-28T23:45:06Z
"Pam Bondi wants transparency on the Epstein files, David Schoen says",https://www.youtube.com/watch?v=nBykeh0FlbA,Will FBI send Pam Bondi the full Epstein files by Friday?,0.6479887962341309,0.35,0,-1,-1,2025-02-28T10:15:05Z
First wave of Jeffrey Epstein files released,https://www.youtube.com/watch?v=i9M7SlJ0L_U,Trump releases Epstein list today?,0.6408770084381104,0.815,1,1,1,2025-02-28T00:46:29Z
'PRETTY SICK': AG Pam Bondi teases release of Epstein files,https://www.youtube.com/watch?v=TIpagGJYPiM,Will Donald Trump be named in Epstein files?,0.6356034278869629,0.125,1,1,1,2025-02-27T14:15:02Z
Ukraine's Zelenskyy to sign mineral deal during Trump White House visit,https://www.youtube.com/watch?v=hrnTp1Pkl-I,Will Trump meet with Zelenskyy before July?,0.7071220278739929,0.9835,1,1,1,2025-02-26T13:15:08Z
Ukraine's Zelenskyy to sign mineral deal during Trump White House visit,https://www.youtube.com/watch?v=hrnTp1Pkl-I,Will Trump meet with Volodymyr Zelenskyy in 2025?,0.6357927322387695,0.994,1,1,1,2025-02-26T13:15:08Z
Ukraine's Zelenskyy to sign mineral deal during Trump White House visit,https://www.youtube.com/watch?v=hrnTp1Pkl-I,Will Trump meet with Volodymyr Zelenskyy in his first 100 days?,0.6194298267364502,0.981,1,1,1,2025-02-26T13:15:08Z
Ukraine's Zelenskyy to sign mineral deal during Trump White House visit,https://www.youtube.com/watch?v=hrnTp1Pkl-I,Will Putin meet with Trump in February?,0.6188960075378418,0.0075,-1,-1,-1,2025-02-26T13:15:08Z
AG Pam Bondi reviews classified Epstein documents,https://www.youtube.com/watch?v=QBnngnwukBU,Will Donald Trump be named in Epstein files?,0.7313077449798584,0.12,-1,1,1,2025-02-22T17:00:26Z
AG Pam Bondi reviews classified Epstein documents,https://www.youtube.com/watch?v=QBnngnwukBU,Trump declassifies Epstein list in first 100 days?,0.6392892599105835,0.645,-1,-1,-1,2025-02-22T17:00:26Z
AG Pam Bondi reviews classified Epstein documents,https://www.youtube.com/watch?v=QBnngnwukBU,Will Michael Jackson be named in Epstein files?,0.602587103843689,0.12,0,1,1,2025-02-22T17:00:26Z
Trump SPARS with Hochul: This is a disaster,https://www.youtube.com/watch?v=qIbOgoMd7Xg,Will Trump halt NYC congestion pricing before April?,0.6108090281486511,0.9505,-1,-1,-1,2025-02-21T19:00:42Z
NY gov melts down after Trump ends congestion pricing,https://www.youtube.com/watch?v=A-DUnH67A8E,Will Trump halt NYC congestion pricing before April?,0.6936861872673035,0.977,-1,-1,-1,2025-02-20T14:30:04Z
NEW: Trump designates Venezuelan gang as terror organization,https://www.youtube.com/watch?v=NjnuCBLAWbI,Will Trump list the Sinaloa Cartel as a terrorist organization before April?,0.649931788444519,0.9405,1,1,1,2025-02-19T16:15:06Z
NEW: Trump designates Venezuelan gang as terror organization,https://www.youtube.com/watch?v=NjnuCBLAWbI,Will Trump list the Tren de Aragua as a terrorist organization before April?,0.620792031288147,0.9655,-1,-1,-1,2025-02-19T16:15:06Z
NEW: Trump designates Venezuelan gang as terror organization,https://www.youtube.com/watch?v=NjnuCBLAWbI,Will Trump list the Gulf Cartel as a terrorist organization before April?,0.602515697479248,0.925,1,1,1,2025-02-19T16:15:06Z
President Trump signs executive order on IVF at Mar-a-Lago,https://www.youtube.com/watch?v=LlJ0DxWF2BQ,Will Trump issue an executive order on February 18?,0.6049144268035889,0.73,1,1,1,2025-02-18T21:42:59Z
Kayleigh McEnany: This is a BIG win for President Trump,https://www.youtube.com/watch?v=BuunSuomBu0,Will fewer than 50k federal employees accept the buyout?,0.809239387512207,0.066,-1,-1,-1,2025-02-13T21:00:08Z
Kayleigh McEnany: This is a BIG win for President Trump,https://www.youtube.com/watch?v=BuunSuomBu0,Will 100-150k federal employees accept the buyout?,0.8071355819702148,0.0985,-1,-1,-1,2025-02-13T21:00:08Z
Kayleigh McEnany: This is a BIG win for President Trump,https://www.youtube.com/watch?v=BuunSuomBu0,Will 50-100k federal employees accept the buyout?,0.8063062429428101,0.715,1,1,1,2025-02-13T21:00:08Z
Kayleigh McEnany: This is a BIG win for President Trump,https://www.youtube.com/watch?v=BuunSuomBu0,Will 500k or more federal employees accept the buyout?,0.8038688898086548,0.0045,-1,-1,-1,2025-02-13T21:00:08Z
Kayleigh McEnany: This is a BIG win for President Trump,https://www.youtube.com/watch?v=BuunSuomBu0,Will 150-200k federal employees accept the buyout?,0.8013389110565186,0.013,-1,-1,-1,2025-02-13T21:00:08Z
Kayleigh McEnany: This is a BIG win for President Trump,https://www.youtube.com/watch?v=BuunSuomBu0,Will 300-350k federal employees accept the buyout?,0.7893900871276855,0.0065,-1,-1,-1,2025-02-13T21:00:08Z
Kayleigh McEnany: This is a BIG win for President Trump,https://www.youtube.com/watch?v=BuunSuomBu0,Will 200-250k federal employees accept the buyout?,0.7882921695709229,0.0095,-1,-1,-1,2025-02-13T21:00:08Z
Kayleigh McEnany: This is a BIG win for President Trump,https://www.youtube.com/watch?v=BuunSuomBu0,Will 250-300k federal employees accept the buyout?,0.7870862483978271,0.016,-1,-1,-1,2025-02-13T21:00:08Z
Kayleigh McEnany: This is a BIG win for President Trump,https://www.youtube.com/watch?v=BuunSuomBu0,Will 350-400k federal employees accept the buyout?,0.7864289283752441,0.0065,-1,-1,-1,2025-02-13T21:00:08Z
Kayleigh McEnany: This is a BIG win for President Trump,https://www.youtube.com/watch?v=BuunSuomBu0,Will 450-500k federal employees accept the buyout?,0.7809387445449829,0.002,-1,-1,-1,2025-02-13T21:00:08Z
Kayleigh McEnany: This is a BIG win for President Trump,https://www.youtube.com/watch?v=BuunSuomBu0,Will 400-450k federal employees accept the buyout?,0.7765816450119019,0.004,-1,-1,-1,2025-02-13T21:00:08Z
"ICE raid leaks could be coming from FBI, border czar Tom Homan warns",https://www.youtube.com/watch?v=fQ9tfsDHi7k,Will Tulsi Gabbard be Trump’s Director of National Intelligence?,0.6836252808570862,0.992,1,1,1,2025-02-11T12:45:06Z
"ICE raid leaks could be coming from FBI, border czar Tom Homan warns",https://www.youtube.com/watch?v=fQ9tfsDHi7k,Will Mitch McConnell vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,0.6551641225814819,0.105,1,1,1,2025-02-11T12:45:06Z
"ICE raid leaks could be coming from FBI, border czar Tom Homan warns",https://www.youtube.com/watch?v=fQ9tfsDHi7k,Will Cynthia Lummis vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,0.6459207534790039,0.9865,1,1,1,2025-02-11T12:45:06Z
"ICE raid leaks could be coming from FBI, border czar Tom Homan warns",https://www.youtube.com/watch?v=fQ9tfsDHi7k,Will Bill Cassidy vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,0.6425710916519165,0.994,1,1,1,2025-02-11T12:45:06Z
"ICE raid leaks could be coming from FBI, border czar Tom Homan warns",https://www.youtube.com/watch?v=fQ9tfsDHi7k,Will Joni Ernst vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,0.6379812955856323,0.9885,1,1,1,2025-02-11T12:45:06Z
"ICE raid leaks could be coming from FBI, border czar Tom Homan warns",https://www.youtube.com/watch?v=fQ9tfsDHi7k,Tulsi Gabbard confirmed as Director of National Intelligence?,0.6371146440505981,0.993,1,1,1,2025-02-11T12:45:06Z
"ICE raid leaks could be coming from FBI, border czar Tom Homan warns",https://www.youtube.com/watch?v=fQ9tfsDHi7k,Will John Fetterman vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,0.6281514167785645,0.0085,-1,-1,-1,2025-02-11T12:45:06Z
"ICE raid leaks could be coming from FBI, border czar Tom Homan warns",https://www.youtube.com/watch?v=fQ9tfsDHi7k,Will Susan Collins vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,0.6253973245620728,0.9905,1,1,1,2025-02-11T12:45:06Z
"ICE raid leaks could be coming from FBI, border czar Tom Homan warns",https://www.youtube.com/watch?v=fQ9tfsDHi7k,Will Lisa Murkowski  vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,0.6219687461853027,0.8205,1,1,1,2025-02-11T12:45:06Z
"ICE raid leaks could be coming from FBI, border czar Tom Homan warns",https://www.youtube.com/watch?v=fQ9tfsDHi7k,Will John Curtis vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,0.619839072227478,0.7,-1,-1,-1,2025-02-11T12:45:06Z
Legal expert warns Dems are on 'thin ice' for blocking these executive actions,https://www.youtube.com/watch?v=zsKCLx7avbk,Will fewer than 50k federal employees accept the buyout?,0.6585788130760193,0.036,1,-1,-1,2025-02-11T09:45:04Z
Legal expert warns Dems are on 'thin ice' for blocking these executive actions,https://www.youtube.com/watch?v=zsKCLx7avbk,Will 500k or more federal employees accept the buyout?,0.651763379573822,0.002,1,-1,-1,2025-02-11T09:45:04Z
Legal expert warns Dems are on 'thin ice' for blocking these executive actions,https://www.youtube.com/watch?v=zsKCLx7avbk,Will 50-100k federal employees accept the buyout?,0.6502262353897095,0.67,1,1,1,2025-02-11T09:45:04Z
Legal expert warns Dems are on 'thin ice' for blocking these executive actions,https://www.youtube.com/watch?v=zsKCLx7avbk,Will 450-500k federal employees accept the buyout?,0.6443333029747009,0.0015,1,0,0,2025-02-11T09:45:04Z
Legal expert warns Dems are on 'thin ice' for blocking these executive actions,https://www.youtube.com/watch?v=zsKCLx7avbk,Will 100-150k federal employees accept the buyout?,0.6429386138916016,0.1675,-1,-1,-1,2025-02-11T09:45:04Z
Legal expert warns Dems are on 'thin ice' for blocking these executive actions,https://www.youtube.com/watch?v=zsKCLx7avbk,Will 150-200k federal employees accept the buyout?,0.6428623199462891,0.0615,-1,-1,-1,2025-02-11T09:45:04Z
Legal expert warns Dems are on 'thin ice' for blocking these executive actions,https://www.youtube.com/watch?v=zsKCLx7avbk,Will 200-250k federal employees accept the buyout?,0.6392656564712524,0.0085,0,-1,-1,2025-02-11T09:45:04Z
Legal expert warns Dems are on 'thin ice' for blocking these executive actions,https://www.youtube.com/watch?v=zsKCLx7avbk,Will 350-400k federal employees accept the buyout?,0.6359977722167969,0.0055,0,-1,-1,2025-02-11T09:45:04Z
Legal expert warns Dems are on 'thin ice' for blocking these executive actions,https://www.youtube.com/watch?v=zsKCLx7avbk,Will 400-450k federal employees accept the buyout?,0.6347562074661255,0.0015,1,1,0,2025-02-11T09:45:04Z
Legal expert warns Dems are on 'thin ice' for blocking these executive actions,https://www.youtube.com/watch?v=zsKCLx7avbk,Will 250-300k federal employees accept the buyout?,0.6344470381736755,0.007,1,1,-1,2025-02-11T09:45:04Z
Legal expert warns Dems are on 'thin ice' for blocking these executive actions,https://www.youtube.com/watch?v=zsKCLx7avbk,Will 300-350k federal employees accept the buyout?,0.631380558013916,0.006,0,-1,-1,2025-02-11T09:45:04Z
"'Joe, you're fired': Trump strips Biden's security clearance",https://www.youtube.com/watch?v=SXSiABUxwi4,Will Donald Trump be shown 3-5 times at the Super Bowl?,0.6020408868789673,0.55,-1,-1,-1,2025-02-10T01:45:01Z
Trump 100% disagrees with federal judge's 'crazy' DOGE ruling,https://www.youtube.com/watch?v=lJxXCj1fbAI,Will Donald Trump be shown 0-2 times at the Super Bowl?,0.6750593185424805,0.345,-1,1,1,2025-02-09T22:30:06Z
Trump 100% disagrees with federal judge's 'crazy' DOGE ruling,https://www.youtube.com/watch?v=lJxXCj1fbAI,Will Donald Trump be shown 12 or more times at the Super Bowl?,0.6694581508636475,0.045,1,1,1,2025-02-09T22:30:06Z
Trump 100% disagrees with federal judge's 'crazy' DOGE ruling,https://www.youtube.com/watch?v=lJxXCj1fbAI,Will Donald Trump be shown 3-5 times at the Super Bowl?,0.6676062345504761,0.355,1,-1,-1,2025-02-09T22:30:06Z
Trump 100% disagrees with federal judge's 'crazy' DOGE ruling,https://www.youtube.com/watch?v=lJxXCj1fbAI,Will Donald Trump be shown 6-8 times at the Super Bowl?,0.6613640189170837,0.18,1,-1,-1,2025-02-09T22:30:06Z
Trump 100% disagrees with federal judge's 'crazy' DOGE ruling,https://www.youtube.com/watch?v=lJxXCj1fbAI,Will Donald Trump be shown 9-11 times at the Super Bowl?,0.6333734393119812,0.075,1,1,1,2025-02-09T22:30:06Z
Intel expert details Super Bowl security for Trump: Here's what you won't see,https://www.youtube.com/watch?v=E0XN15gS2uc,Will Donald Trump be shown 9-11 times at the Super Bowl?,0.6110123991966248,0.06,1,1,1,2025-02-08T23:45:00Z
Intel expert details Super Bowl security for Trump: Here's what you won't see,https://www.youtube.com/watch?v=E0XN15gS2uc,Will Donald Trump be shown 12 or more times at the Super Bowl?,0.60619056224823,0.045,0,1,1,2025-02-08T23:45:00Z
Intel expert details Super Bowl security for Trump: Here's what you won't see,https://www.youtube.com/watch?v=E0XN15gS2uc,Will Donald Trump be shown 3-5 times at the Super Bowl?,0.6008548736572266,0.28,1,-1,-1,2025-02-08T23:45:00Z
"Trump is restoring democracy by controlling the federal bureaucracy, Stephen Miller says",https://www.youtube.com/watch?v=KvBZHEUlWZQ,Will Stephen Miller be Trump’s Director of National Intelligence?,0.6712895631790161,0.0015,0,0,0,2025-02-08T09:45:00Z
"Federal investigation launched over threats to Elon Musk, DOGE team",https://www.youtube.com/watch?v=W6-hi3eGBAE,Elon Musk out as Head of DOGE before July?,0.6451044082641602,0.22,1,-1,-1,2025-02-07T21:30:08Z
Peter Doocy: Democrats are really upset about this,https://www.youtube.com/watch?v=YrJAb6t2Tgo,Will 500k or more federal employees accept the buyout?,0.625004231929779,0.0045,0,-1,-1,2025-02-07T20:00:18Z
Peter Doocy: Democrats are really upset about this,https://www.youtube.com/watch?v=YrJAb6t2Tgo,Will 100-150k federal employees accept the buyout?,0.6247380375862122,0.1545,1,1,-1,2025-02-07T20:00:18Z
Peter Doocy: Democrats are really upset about this,https://www.youtube.com/watch?v=YrJAb6t2Tgo,Will fewer than 50k federal employees accept the buyout?,0.6244927644729614,0.0345,-1,1,1,2025-02-07T20:00:18Z
Peter Doocy: Democrats are really upset about this,https://www.youtube.com/watch?v=YrJAb6t2Tgo,Will 50-100k federal employees accept the buyout?,0.6188123226165771,0.66,-1,-1,1,2025-02-07T20:00:18Z
Peter Doocy: Democrats are really upset about this,https://www.youtube.com/watch?v=YrJAb6t2Tgo,Will 150-200k federal employees accept the buyout?,0.6175096035003662,0.095,-1,-1,-1,2025-02-07T20:00:18Z
Peter Doocy: Democrats are really upset about this,https://www.youtube.com/watch?v=YrJAb6t2Tgo,Will 300-350k federal employees accept the buyout?,0.6125674247741699,0.0115,1,-1,-1,2025-02-07T20:00:18Z
Peter Doocy: Democrats are really upset about this,https://www.youtube.com/watch?v=YrJAb6t2Tgo,Will 250-300k federal employees accept the buyout?,0.609265923500061,0.0115,1,-1,1,2025-02-07T20:00:18Z
Peter Doocy: Democrats are really upset about this,https://www.youtube.com/watch?v=YrJAb6t2Tgo,Will 350-400k federal employees accept the buyout?,0.6048763990402222,0.0075,0,-1,-1,2025-02-07T20:00:18Z
Peter Doocy: Democrats are really upset about this,https://www.youtube.com/watch?v=YrJAb6t2Tgo,Will 450-500k federal employees accept the buyout?,0.6030734777450562,0.0045,-1,-1,-1,2025-02-07T20:00:18Z
Peter Doocy: Democrats are really upset about this,https://www.youtube.com/watch?v=YrJAb6t2Tgo,Will 200-250k federal employees accept the buyout?,0.6024903059005737,0.0265,-1,-1,-1,2025-02-07T20:00:18Z
Jesse Watters: Dems are going nuclear,https://www.youtube.com/watch?v=1Xh0hJl7c5I,Will fewer than 50k federal employees accept the buyout?,0.7219448685646057,0.0345,-1,1,1,2025-02-07T03:00:01Z
Jesse Watters: Dems are going nuclear,https://www.youtube.com/watch?v=1Xh0hJl7c5I,Will 300-350k federal employees accept the buyout?,0.7015206813812256,0.0115,1,-1,-1,2025-02-07T03:00:01Z
Jesse Watters: Dems are going nuclear,https://www.youtube.com/watch?v=1Xh0hJl7c5I,Will 50-100k federal employees accept the buyout?,0.7001242637634277,0.66,-1,-1,1,2025-02-07T03:00:01Z
Jesse Watters: Dems are going nuclear,https://www.youtube.com/watch?v=1Xh0hJl7c5I,Will 150-200k federal employees accept the buyout?,0.6987640857696533,0.095,-1,-1,-1,2025-02-07T03:00:01Z
Jesse Watters: Dems are going nuclear,https://www.youtube.com/watch?v=1Xh0hJl7c5I,Will 200-250k federal employees accept the buyout?,0.6986820697784424,0.0265,-1,-1,-1,2025-02-07T03:00:01Z
Jesse Watters: Dems are going nuclear,https://www.youtube.com/watch?v=1Xh0hJl7c5I,Will 250-300k federal employees accept the buyout?,0.6952265501022339,0.0115,1,-1,1,2025-02-07T03:00:01Z
Jesse Watters: Dems are going nuclear,https://www.youtube.com/watch?v=1Xh0hJl7c5I,Will 350-400k federal employees accept the buyout?,0.6947851181030273,0.0075,0,-1,-1,2025-02-07T03:00:01Z
Jesse Watters: Dems are going nuclear,https://www.youtube.com/watch?v=1Xh0hJl7c5I,Will 100-150k federal employees accept the buyout?,0.6922221779823303,0.1545,1,1,-1,2025-02-07T03:00:01Z
Jesse Watters: Dems are going nuclear,https://www.youtube.com/watch?v=1Xh0hJl7c5I,Will 500k or more federal employees accept the buyout?,0.6898736953735352,0.0045,0,-1,-1,2025-02-07T03:00:01Z
Jesse Watters: Dems are going nuclear,https://www.youtube.com/watch?v=1Xh0hJl7c5I,Will 450-500k federal employees accept the buyout?,0.6742758750915527,0.0045,-1,-1,-1,2025-02-07T03:00:01Z
Jesse Watters: Dems are going nuclear,https://www.youtube.com/watch?v=1Xh0hJl7c5I,Will 400-450k federal employees accept the buyout?,0.6699033975601196,0.004,0,-1,-1,2025-02-07T03:00:01Z
Karoline Leavitt: Democrats have no other hill to die on,https://www.youtube.com/watch?v=VddiCRRc4bQ,Will 300-350k federal employees accept the buyout?,0.6170423030853271,0.0035,1,1,1,2025-02-06T18:45:06Z
Karoline Leavitt: Democrats have no other hill to die on,https://www.youtube.com/watch?v=VddiCRRc4bQ,Will 350-400k federal employees accept the buyout?,0.6147893667221069,0.0055,1,-1,0,2025-02-06T18:45:06Z
Karoline Leavitt: Democrats have no other hill to die on,https://www.youtube.com/watch?v=VddiCRRc4bQ,Will fewer than 50k federal employees accept the buyout?,0.6131685376167297,0.565,-1,-1,-1,2025-02-06T18:45:06Z
Karoline Leavitt: Democrats have no other hill to die on,https://www.youtube.com/watch?v=VddiCRRc4bQ,Will 500k or more federal employees accept the buyout?,0.6084215641021729,0.0035,1,-1,-1,2025-02-06T18:45:06Z
Karoline Leavitt: Democrats have no other hill to die on,https://www.youtube.com/watch?v=VddiCRRc4bQ,Will 100-150k federal employees accept the buyout?,0.6074562072753906,0.052,1,1,1,2025-02-06T18:45:06Z
Karoline Leavitt: Democrats have no other hill to die on,https://www.youtube.com/watch?v=VddiCRRc4bQ,Will 250-300k federal employees accept the buyout?,0.6059646606445312,0.008,1,-1,-1,2025-02-06T18:45:06Z
Karoline Leavitt: Democrats have no other hill to die on,https://www.youtube.com/watch?v=VddiCRRc4bQ,Will 150-200k federal employees accept the buyout?,0.6055678725242615,0.0295,1,1,1,2025-02-06T18:45:06Z
Karoline Leavitt: Democrats have no other hill to die on,https://www.youtube.com/watch?v=VddiCRRc4bQ,Will 50-100k federal employees accept the buyout?,0.6025446057319641,0.34,1,1,1,2025-02-06T18:45:06Z
Karoline Leavitt: Democrats have no other hill to die on,https://www.youtube.com/watch?v=VddiCRRc4bQ,Will 450-500k federal employees accept the buyout?,0.6024001836776733,0.003,1,-1,-1,2025-02-06T18:45:06Z
Karoline Leavitt: Democrats have no other hill to die on,https://www.youtube.com/watch?v=VddiCRRc4bQ,Will 400-450k federal employees accept the buyout?,0.6016765236854553,0.0045,-1,-1,-1,2025-02-06T18:45:06Z
